
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Nesar Ahmad Bahawi,6,5,1,4,,,1,1,Rohullah Nikpai (1 medal)
2,2008 Summer,Nesar Ahmad Bahawi,4,3,1,2,,,1,1,Rohullah Nikpai (1 medal)
3,2004 Summer,Nina Suratger,5,3,2,4,,,,,
4,1996 Summer,Muhamed Aman,2,2,0,1,,,,,
5,1988 Summer,,5,5,0,1,,,,,
6,1980 Summer,,11,11,0,2,,,,,
7,1972 Summer,Ghulam Dastagir,8,8,0,1,,,,,
8,1968 Summer,,5,5,0,1,,,,,
9,1964 Summer,,8,8,0,1,,,,,
10,1960 Summer,,12,12,0,2,,,,,
11,1956 Summer,,12,12,0,1,,,,,
12,1948 Summer,,25,25,0,2,,,,,
13,1936 Summer,,15,15,0,2,,,,,
