
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2008 Summer,Churandy Martina,3,3,0,3,,,,,
2,2004 Summer,Churandy Martina,3,3,0,2,,,,,
3,2000 Summer,Cor van Aanholt,7,6,1,6,,,,,
4,1996 Summer,Sergio Murray,6,6,0,5,,,,,
5,1992 Summer,,4,3,1,3,,,,,
6,1992 Winter,Dudley den Dulk,2,2,0,1,,,,,
7,1988 Summer,Jan Boersma,3,2,1,3,,1,,1,Jan Boersma (1 medal)
8,1988 Winter,Bart Carpentier Alting,2,2,0,2,,,,,
9,1984 Summer,Evert Kroon,8,3,5,3,,,,,
10,1976 Summer,,4,4,0,2,,,,,
11,1972 Summer,Bèto Adriana,2,2,0,2,,,,,
12,1968 Summer,,5,3,2,2,,,,,
13,1964 Summer,,4,4,0,2,,,,,
14,1960 Summer,,5,5,0,1,,,,,
15,1952 Summer,,11,11,0,1,,,,,
