
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Erjon Tola,1,0,1,1,,,,,
2,2012 Summer,Romela Begaj,9,6,3,5,,,,,
3,2010 Winter,Erjon Tola,1,1,0,1,,,,,
4,2008 Summer,Sahit Prizreni,11,7,4,6,,,,,
5,2006 Winter,Erjon Tola,1,1,0,1,,,,,
6,2004 Summer,Klodiana Shala,7,5,2,4,,,,,
7,2000 Summer,Ilirjan Suli,4,2,2,3,,,,,
8,1996 Summer,Mirela Maniani-Tzelili,7,3,4,5,,,,,
9,1992 Summer,Kristo Robo,7,5,2,4,,,,,
10,1972 Summer,Afërdita Tusha,5,4,1,2,,,,,
