
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Abdelhafid Benchabla,38,21,17,12,1,,,1,Taoufik Makhloufi (1 medal)
2,2010 Winter,Mehdi-Selim Khelifi,1,1,0,1,,,,,
3,2008 Summer,Salim Iles,56,34,22,12,,1,1,2,Soraya Haddad and Amar Benikhlef (1 medal)
4,2006 Winter,Christelle Douibi,2,1,1,2,,,,,
5,2004 Summer,Djabir Saïd-Guerni,61,46,15,10,,,,,
6,2000 Summer,Djabir Saïd-Guerni,47,37,10,10,1,1,3,5,5 athletes with 1 medal
7,1996 Summer,Karim El-Mahouab,45,39,6,9,2,,1,3,3 athletes with 1 medal
8,1992 Summer,,35,33,2,7,1,,1,2,Hocine Soltani and Hassiba Boulmerka (1 medal)
9,1992 Winter,Nacera Boukamoum,4,3,1,1,,,,,
10,1988 Summer,Noureddine Tadjine,42,40,2,7,,,,,
11,1984 Summer,Abdel Krim Ben Djemil,33,33,0,4,,,2,2,Mustapha Moussa and Mohamed Zaoui (1 medal)
12,1980 Summer,,54,54,0,9,,,,,
13,1972 Summer,Azzedine Azzouzi,5,5,0,2,,,,,
14,1968 Summer,,3,3,0,2,,,,,
15,1964 Summer,,1,1,0,1,,,,,
