
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Mireia Gutiérrez,6,4,2,3,,,,,
2,2012 Summer,Joan Tomas,6,4,2,4,,,,,
3,2010 Winter,Lluís Marín Tarroch,6,4,2,3,,,,,
4,2008 Summer,Montserrat García,5,3,2,4,,,,,
5,2006 Winter,Alex Antor,3,3,0,2,,,,,
6,2004 Summer,Hocine Haciane,6,4,2,4,,,,,
7,2002 Winter,Victor Gómez,3,2,1,1,,,,,
8,2000 Summer,Toni Bernadó,5,3,2,3,,,,,
9,1998 Winter,Victor Gómez,3,2,1,1,,,,,
10,1996 Summer,Aitor Osorio,8,6,2,5,,,,,
11,1994 Winter,Vicky Grau,6,4,2,1,,,,,
12,1992 Summer,Maggy Moreno,8,7,1,5,,,,,
13,1992 Winter,,5,4,1,1,,,,,
14,1988 Summer,Josep Graells,3,3,0,2,,,,,
15,1988 Winter,Claudina Rossel,4,2,2,1,,,,,
16,1984 Summer,Joan Tomas,2,2,0,1,,,,,
17,1984 Winter,,2,2,0,1,,,,,
18,1980 Summer,,2,2,0,1,,,,,
19,1980 Winter,Carlos Font,3,3,0,1,,,,,
20,1976 Summer,Esteve Dolsa,3,3,0,2,,,,,
21,1976 Winter,,5,5,0,1,,,,,
