
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Cristian Simari Birkner,7,4,3,2,,,,,
2,2012 Summer,Lucha Aymar,137,97,40,23,1,1,2,4,19 athletes with 1 medal
3,2010 Winter,Cristian Simari Birkner,7,4,3,3,,,,,
4,2008 Summer,Manu Ginóbili,132,79,53,19,2,,4,6,51 athletes with 1 medal
5,2006 Winter,María Belén Simari Birkner,9,5,4,5,,,,,
6,2004 Summer,Carlos Espínola,152,106,46,22,2,,4,6,49 athletes with 1 medal
7,2002 Winter,Cristian Simari Birkner,11,8,3,5,,,,,
8,2000 Summer,Carlos Espínola,143,98,45,21,,2,2,4,20 athletes with 1 medal
9,1998 Winter,Carola Calello,2,1,1,2,,,,,
10,1996 Summer,Carolina Mariani,179,132,47,20,,2,1,3,20 athletes with 1 medal
11,1994 Winter,María Giro,10,4,6,2,,,,,
12,1992 Summer,Marcelo Garrafo,84,67,17,17,,,1,1,Javier Frana and Christian Miniussi (1 medal)
13,1992 Winter,Carolina Eiras,20,15,5,5,,,,,
14,1988 Summer,Gabriela Sabatini,118,93,25,18,,1,1,2,13 athletes with 1 medal
15,1988 Winter,Julio Moreschi,15,10,5,4,,,,,
16,1984 Summer,Ricardo Ibarra,81,71,10,14,,,,,
17,1984 Winter,,18,13,5,3,,,,,
18,1980 Winter,Abel Carlos Balda,13,13,0,3,,,,,
19,1976 Summer,Hugo Aberastegui,69,65,4,12,,,,,
20,1976 Winter,,8,8,0,2,,,,,
21,1972 Summer,Carlos D'Elia,92,88,4,12,,1,,1,Alberto Demiddi (1 medal)
22,1972 Winter,,2,2,0,1,,,,,
23,1968 Summer,Carlos Moratorio,89,84,5,12,,,2,2,Mario Guilloti and Alberto Demiddi (1 medal)
24,1968 Winter,,5,2,3,1,,,,,
25,1964 Summer,Jeannette Campbell,102,96,6,14,,1,,1,Carlos Moratorio (1 medal)
26,1964 Winter,,12,11,1,3,,,,,
27,1960 Summer,Christina Hardekopf,92,91,1,15,,1,1,2,4 athletes with 1 medal
28,1960 Winter,María Cristina Schweizer,6,5,1,2,,,,,
29,1956 Summer,Isabel Avellán,28,27,1,8,,1,1,2,Víctor Zalazar and Humberto Selvetti (1 medal)
30,1956 Equestrian,,7,7,0,1,,,,,
31,1952 Summer,Delfo Cabrera,123,115,8,15,1,2,2,5,6 athletes with 1 medal
32,1952 Winter,,12,11,1,2,,,,,
33,1948 Summer,Alfredo Yantorno,199,188,11,16,3,3,1,7,11 athletes with 1 medal
34,1948 Winter,,9,9,0,2,,,,,
35,1936 Summer,Juan Carlos Zabala,51,50,1,8,2,2,3,7,11 athletes with 1 medal
36,1932 Summer,Alberto Zorrilla,33,33,0,7,3,1,,4,4 athletes with 1 medal
37,1928 Summer,Héctor Méndez,81,81,0,12,3,3,1,7,26 athletes with 1 medal
38,1928 Winter,,10,10,0,1,,,,,
39,1924 Summer,Enrique Thompson,77,77,0,11,1,3,2,6,10 athletes with 1 medal
40,1920 Summer,,1,1,0,1,,,,,
41,1908 Summer,,1,1,0,1,,,,,
42,1900 Summer,,1,1,0,1,,,,,
