
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Sergey Mikayelyan,4,3,1,2,,,,,
2,2012 Summer,Arman Yeremyan,24,20,4,9,,1,2,3,3 athletes with 1 medal
3,2010 Winter,Arsen Nersisyan,4,2,2,2,,,,,
4,2008 Summer,Albert Azaryan,25,23,2,7,,,6,6,6 athletes with 1 medal
5,2006 Winter,Vazgen Azroyan,5,4,1,3,,,,,
6,2004 Summer,Albert Azaryan,18,16,2,8,,,,,
7,2002 Winter,Arsen Harutyunyan,9,5,4,4,,,,,
8,2000 Summer,Haykaz Galstyan,25,23,2,10,,,1,1,Arsen Melikyan (1 medal)
9,1998 Winter,Alla Mikayelyan,7,4,3,4,,,,,
10,1996 Summer,Aghvan Grigoryan,32,30,2,11,1,1,,2,Armen Mkrtchyan and Armen Nazaryan (1 medal)
11,1994 Winter,Arsen Harutyunyan,2,2,0,1,,,,,
