
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Alex Pullin,60,29,31,11,,2,1,3,3 athletes with 1 medal
2,2012 Summer,Lauren Jackson,404,221,183,29,7,16,12,35,Alicia Coutts (5 medals)
3,2010 Winter,Torah Bright,40,20,20,11,2,1,,3,3 athletes with 1 medal
4,2008 Summer,James Tomkins,432,233,199,31,14,15,17,46,Libby Lenton-Trickett (4 medals)
5,2006 Winter,Alisa Camplin,40,23,17,10,1,,1,2,Alisa Camplin and Dale Begg-Smith (1 medal)
6,2004 Summer,Colin Beashel,470,268,202,33,17,16,17,50,Petria Thomas and Ian Thorpe (4 medals)
7,2002 Winter,Adrian Costa,25,13,12,5,2,,,2,Steven Bradbury and Alisa Camplin (1 medal)
8,2000 Summer,Andrew Gaze,617,341,276,34,16,25,17,58,Ian Thorpe (5 medals)
9,1998 Winter,Richard Nizielski,23,15,8,8,,,1,1,Zali Steggall (1 medal)
10,1996 Summer,Andrew Hoy,417,250,167,26,9,9,23,41,Susie O'Neill and Daniel Kowalski (3 medals)
11,1994 Winter,Kirstie Marshall,25,18,7,9,,,1,1,4 athletes with 1 medal
12,1992 Summer,Jenny Donnet,279,187,92,25,7,9,11,27,4 athletes with 2 medals
13,1992 Winter,Danny Kah,22,15,7,9,,,,,
14,1988 Summer,Ric Charlesworth,252,180,72,24,3,6,5,14,Dean Woods and Duncan Armstrong (2 medals)
15,1988 Winter,Mike Richmond,19,16,2,6,,,,,
16,1984 Summer,Wayne Roycroft,242,169,73,22,4,8,12,24,Mark Stockwell (3 medals)
17,1984 Winter,Colin Coates,10,8,2,5,,,,,
18,1980 Summer,Denise Robertson-BoydMax Metzker,120,92,28,17,2,2,5,9,3 athletes with 2 medals
19,1980 Winter,Rob McIntyre,9,5,4,4,,,,,
20,1976 Summer,Raelene Boyle,180,145,34,20,,1,4,5,23 athletes with 1 medal
21,1976 Winter,Colin Coates,8,5,3,3,,,,,
22,1972 Summer,Dennis Green,168,139,29,20,8,7,2,17,Shane Gould (5 medals)
23,1972 Winter,,4,4,0,2,,,,,
24,1968 Summer,Bill Roycroft,128,104,24,16,5,7,5,17,Mike Wenden (4 medals)
25,1968 Winter,Malcolm Milne,3,3,0,3,,,,,
26,1964 Summer,Ivan Lund,243,203,40,19,6,2,10,18,6 athletes with 2 medals
27,1964 Winter,,5,3,2,1,,,,,
28,1960 Summer,Jock Sturrock,189,160,29,17,8,8,6,22,3 athletes with 3 medals
29,1960 Winter,Vic Ekberg,30,26,4,6,,,,,
30,1956 Summer,Merv Wood,294,250,44,18,13,8,14,35,4 athletes with 3 medals
31,1956 Winter,,8,7,1,3,,,,,
32,1956 Equestrian,Bert Jacobs,4,4,0,1,,,,,
33,1952 Summer,Merv Wood,81,71,10,12,6,2,3,11,4 athletes with 2 medals
34,1952 Winter,,9,7,2,4,,,,,
35,1948 Summer,Les McKay,75,66,9,11,2,6,5,13,Shirley Strickland de la Hunty (3 medals)
36,1936 Summer,Dunc Gray,32,28,4,7,,,1,1,Jack Metcalfe (1 medal)
37,1936 Winter,,1,1,0,1,,,,,
38,1932 Summer,Boy Charlton,13,9,4,6,3,1,1,5,5 athletes with 1 medal
39,1928 Summer,Bobby Pearce,18,14,4,6,1,2,1,4,Boy Charlton (2 medals)
40,1924 Summer,Edwin Carr Sr.,36,35,1,9,3,1,2,6,Boy Charlton (3 medals)
41,1924 Winter,,1,1,0,1,,,,,George Finch (1 medal)
42,1920 Summer,George Parker,13,12,1,5,,2,1,3,Frank Beaurepaire (2 medals)
43,1906 Summer,,4,4,0,2,,,3,3,Nigel Barker (2 medals)
44,1904 Summer,,2,2,0,2,,3,1,4,Frank Gailey (4 medals)
45,1900 Summer,,2,2,0,2,2,,3,5,Stan Rowley (4 medals)
46,1896 Summer,,1,1,0,2,2,,,2,Teddy Flack (3 medals)
