
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Mario Stecher,126,86,40,14,4,8,5,17,3 athletes with 2 medals
2,2012 Summer,Markus Rogan,70,39,31,19,,,,,
3,2010 Winter,Andreas LingerWolfgang Linger,75,49,26,13,4,6,6,16,Gregor Schlierenzauer (3 medals)
4,2008 Summer,Hans-Peter Steinacher,70,40,30,16,,1,2,3,3 athletes with 1 medal
5,2006 Winter,Renate Götschl,73,55,18,12,9,7,7,23,Felix Gottwald (3 medals)
6,2004 Summer,Roman Hagara,74,54,20,18,2,4,1,7,Markus Rogan (2 medals)
7,2002 Winter,Angelika Neuner,90,71,19,12,3,4,10,17,Stephan Eberharter and Felix Gottwald (3 medals)
8,2000 Summer,Wolfram Waibel Jr.,92,55,37,17,2,1,,3,4 athletes with 1 medal
9,1998 Winter,Emese Nemeth-Hunyady,96,73,23,12,3,5,9,17,3 athletes with 2 medals
10,1996 Summer,Hubert Raudaschl,72,56,16,15,,1,2,3,Wolfram Waibel Jr. (2 medals)
11,1994 Winter,Anita Wachter,80,65,15,10,2,3,4,9,Emese Nemeth-Hunyady and Andi Goldberger (2 medals)
12,1992 Summer,Sissy Max-Theurer,102,71,31,17,,2,,2,6 athletes with 1 medal
13,1992 Winter,Anita Wachter,58,45,13,9,6,7,8,21,Martin Höllwarth (3 medals)
14,1988 Summer,Hubert Raudaschl,73,66,7,17,1,,,1,Peter Seisenbacher (1 medal)
15,1988 Winter,Leonhard Stock,81,66,15,10,3,5,2,10,3 athletes with 2 medals
16,1984 Summer,Hubert Raudaschl,102,71,31,18,1,1,1,3,3 athletes with 1 medal
17,1984 Winter,Franz Klammer,65,58,7,9,,,1,1,Anton Steiner (1 medal)
18,1980 Summer,Karl Ferstl,83,64,19,16,1,2,1,4,5 athletes with 1 medal
19,1980 Winter,Annemarie Moser-Pröll,43,33,10,6,3,2,2,7,8 athletes with 1 medal
20,1976 Summer,Günther Pfaff,60,54,6,15,,,1,1,Rudolf Dollinger (1 medal)
21,1976 Winter,Franz Klammer,77,63,14,10,2,2,2,6,Karl Schnabl (2 medals)
22,1972 Summer,Hubert Raudaschl,111,97,14,15,,1,2,3,3 athletes with 1 medal
23,1972 Winter,Manfred Schmid,40,29,11,8,1,2,2,5,Annemarie Moser-Pröll (2 medals)
24,1968 Summer,Roland Losert,43,35,8,12,,2,2,4,5 athletes with 1 medal
25,1968 Winter,Emmerich Danzer,76,63,13,10,3,4,4,11,Manfred Schmid (2 medals)
26,1964 Summer,Hubert Hammerer,56,45,11,14,,,,,
27,1964 Winter,Regine Heitzer,83,69,14,10,4,5,3,12,Pepi Stiegler (2 medals)
28,1960 Summer,Herbert Wiedermann,103,82,21,15,1,1,,2,3 athletes with 1 medal
29,1960 Winter,Norbert Felsinger,26,17,9,5,1,2,3,6,Ernst Hinterseer (2 medals)
30,1956 Summer,Franz Wimmer,29,24,5,11,,,2,2,4 athletes with 1 medal
31,1956 Winter,Toni Sailer,60,50,10,8,4,3,4,11,Toni Sailer (3 medals)
32,1956 Equestrian,,5,5,0,1,,,,,
33,1952 Summer,Willi Welt,112,91,21,16,,1,1,2,3 athletes with 1 medal
34,1952 Winter,Sepp Bradl,39,31,8,7,2,4,2,8,Christian Pravda and Othmar Schneider (2 medals)
35,1948 Summer,,147,115,32,17,2,2,4,8,8 athletes with 1 medal
36,1948 Winter,,54,42,12,8,1,3,4,8,Trude Jochum-Beiser and Erika Mahringer (2 medals)
37,1936 Summer,Fritz Wurmböck,234,217,17,19,5,7,5,17,3 athletes with 2 medals
38,1936 Winter,Karl Schäfer,60,50,10,8,1,1,2,4,5 athletes with 1 medal
39,1932 Summer,,19,17,2,7,1,1,3,5,Nikolaus Hirschl (2 medals)
40,1932 Winter,Harald Paumgarten,7,6,1,5,1,1,,2,Fritzi Burger and Karl Schäfer (1 medal)
41,1928 Summer,Ludwig Wessely,73,67,6,13,3,,1,4,5 athletes with 1 medal
42,1928 Winter,,39,34,5,8,,3,1,4,6 athletes with 1 medal
43,1924 Summer,,49,46,3,8,,3,1,4,4 athletes with 1 medal
44,1924 Winter,,4,2,2,1,2,1,,3,4 athletes with 1 medal
45,1912 Summer,,85,79,6,12,,2,2,4,Richard Verderber (2 medals)
46,1908 Summer,,7,7,0,4,,,1,1,Otto Scheff (1 medal)
47,1906 Summer,,31,31,0,9,3,3,3,9,3 athletes with 2 medals
48,1904 Summer,,2,2,0,2,1,1,1,3,Julius Lenhart (3 medals)
49,1900 Summer,,16,16,0,4,,3,3,6,Karl Ruberl and Otto Wahle (2 medals)
50,1896 Summer,,3,3,0,3,2,1,2,5,Adolf Schmal (3 medals)
