
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Iskander Khailov,3,2,1,2,,,,,
2,2012 Summer,Elnur Məmmədli,52,38,14,15,2,2,6,10,10 athletes with 1 medal
3,2010 Winter,Fuat Guliyev,2,1,1,1,,,,,
4,2008 Summer,Fərid Mənsurov,44,30,14,10,1,2,4,7,7 athletes with 1 medal
5,2006 Winter,Mikhail Rakimov,2,1,1,1,,,,,
6,2004 Summer,Nizami Paşayev,36,30,6,10,1,,4,5,5 athletes with 1 medal
7,2002 Winter,Sergey Rylov,4,3,1,2,,,,,
8,2000 Summer,Namiq Abdullayev,31,25,6,8,2,,1,3,3 athletes with 1 medal
9,1998 Winter,Yuliya Vorobyova,4,2,2,1,,,,,
10,1996 Summer,Nazim Hüseynov,23,20,3,9,,1,,1,Namiq Abdullayev (1 medal)
