
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Chris Brown,21,12,9,2,1,,,1,4 athletes with 1 medal
2,2008 Summer,Debbie Ferguson-McKenzie,25,16,9,4,,1,1,2,7 athletes with 1 medal
3,2004 Summer,Debbie Ferguson-McKenzie,22,13,9,3,1,,1,2,Debbie Ferguson-McKenzie and Tonique Williams-Darling (1 medal)
4,2000 Summer,Pauline Davis-Thompson,25,16,9,3,2,,1,3,Pauline Davis-Thompson (2 medals)
5,1996 Summer,Frank Rutherford,26,19,7,4,,1,,1,5 athletes with 1 medal
6,1992 Summer,,14,12,2,4,,,1,1,Frank Rutherford (1 medal)
7,1988 Summer,Durward Knowles,16,12,4,5,,,,,
8,1984 Summer,Brad Cooper,22,17,5,4,,,,,
9,1976 Summer,Mike Sands,11,10,1,3,,,,,
10,1972 Summer,Mike Sands,20,19,1,4,,,,,
11,1968 Summer,,16,16,0,3,,,,,
12,1964 Summer,,11,11,0,2,1,,,1,Cecil Cooke and Durward Knowles (1 medal)
13,1960 Summer,Harold Munnings,13,13,0,2,,,,,
14,1956 Summer,,4,4,0,2,,,1,1,Sloan Farrington and Durward Knowles (1 medal)
15,1952 Summer,,7,7,0,1,,,,,
