
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ryan Brathwaite,6,6,0,3,,,,,
2,2008 Summer,Bradley Ally,8,7,1,3,,,,,
3,2004 Summer,Michael Maskell,10,9,1,5,,,,,
4,2000 Summer,Andrea Blackett,18,12,6,6,,,1,1,Obadele Thompson (1 medal)
5,1996 Summer,Obadele Thompson,13,11,2,7,,,,,
6,1992 Summer,,17,16,1,5,,,,,
7,1988 Summer,Elvis Forde,17,16,1,7,,,,,
8,1984 Summer,Charles Pile,16,13,3,6,,,,,
9,1976 Summer,Lorna Forde,11,9,2,2,,,,,
10,1972 Summer,Anthony Phillips,13,8,5,4,,,,,
11,1968 Summer,,9,9,0,5,,,,,
