
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Hanna Mariën,7,3,4,5,,,,,
2,2012 Summer,Tia Hellebaut,113,69,44,16,,1,2,3,3 athletes with 1 medal
3,2010 Winter,Kevin Van der Perren,8,4,4,4,,,,,
4,2008 Summer,Sébastien Godefroid,94,77,17,16,1,1,,2,5 athletes with 1 medal
5,2006 Winter,Kevin Van der Perren,4,4,0,3,,,,,
6,2004 Summer,Jean-Michel Saive,50,31,19,14,1,,2,3,3 athletes with 1 medal
7,2002 Winter,Simon Van Vossel,6,6,0,3,,,,,
8,2000 Summer,Ulla Werbrouck,68,36,32,16,,2,3,5,7 athletes with 1 medal
9,1998 Winter,Conrad Alleblas,1,1,0,1,,,1,1,Bart Veldkamp (1 medal)
10,1996 Summer,Jean-Michel Saive,61,41,20,14,2,2,2,6,6 athletes with 1 medal
11,1994 Winter,Bea Pintens,5,2,3,2,,,,,
12,1992 Summer,Frans Peeters,68,43,25,18,,1,2,3,3 athletes with 1 medal
13,1992 Winter,Geert Blanchart,5,4,1,1,,,,,
14,1988 Summer,Dirk Crois,59,35,24,16,,,2,2,Robert Van de Walle and Frans Peeters (1 medal)
15,1988 Winter,Katrien Pauwels,1,0,1,1,,,,,
16,1984 Summer,Edgar Henri Cuepper,63,47,16,14,1,1,2,4,5 athletes with 1 medal
17,1984 Winter,Henri Mollin,4,2,2,2,,,,,
18,1980 Summer,,59,43,16,10,1,,,1,Robert Van de Walle (1 medal)
19,1980 Winter,Henri Mollin,2,2,0,1,,,,,
20,1976 Summer,Gaston Roelants,101,75,26,16,,3,3,6,François Mathy and Ivo Van Damme (2 medals)
21,1976 Winter,Robert Blanchaer,4,3,1,2,,,,,
22,1972 Summer,Gaston Roelants,88,82,6,14,,2,,2,Karel Lismont and Miel Puttemans (1 medal)
23,1972 Winter,Robert Blanchaer,1,1,0,1,,,,,
24,1968 Summer,Gaston Roelants,82,77,5,13,,1,1,2,3 athletes with 1 medal
25,1964 Summer,Gaston Roelants,61,60,1,13,2,,1,3,3 athletes with 1 medal
26,1964 Winter,,8,7,1,3,,,,,
27,1960 Summer,André Nelis,101,93,8,16,,2,2,4,4 athletes with 1 medal
28,1956 Summer,André Nelis,54,51,3,12,,2,,2,Jef Mewis and André Nelis (1 medal)
29,1956 Winter,,4,4,0,3,,,,,
30,1956 Equestrian,,3,2,1,1,,,,,
31,1952 Summer,Charles Debeur,135,130,5,16,2,2,,4,Robert Grondelaers and André Noyelle (2 medals)
32,1952 Winter,,9,9,0,3,,,,,
33,1948 Summer,Charles Vyt,152,132,20,17,2,2,3,7,Lode Wouters (2 medals)
34,1948 Winter,Max Houben,11,10,1,4,1,1,,2,6 athletes with 1 medal
35,1936 Summer,Édouard Écuyer de le Court,150,145,5,15,,,3,3,14 athletes with 1 medal
36,1936 Winter,Eric De Spoelberch,27,24,3,5,,,,,
37,1932 Summer,,36,29,7,2,,,1,1,André Verbeke (1 medal)
38,1932 Winter,,5,4,1,2,,,,,
39,1928 Summer,,187,175,12,15,,1,2,3,5 athletes with 1 medal
40,1928 Winter,,25,24,1,3,,,1,1,Robert Van Zeebroeck (1 medal)
41,1924 Summer,,172,166,6,17,3,7,3,13,Rik Hoevenaers (3 medals)
42,1924 Winter,,18,17,1,4,,,1,1,5 athletes with 1 medal
43,1920 Summer,Victor Boin,336,326,10,23,16,12,14,42,Hubert Van Innis (6 medals)
44,1912 Summer,,36,35,1,9,2,1,3,6,Paul Anspach (2 medals)
45,1908 Summer,,70,70,0,11,1,5,2,8,Réginald Storms and Paul Van Asbroeck (2 medals)
46,1906 Summer,,16,16,0,7,2,1,3,6,Cyrille Verbrugge (2 medals)
47,1900 Summer,,64,64,0,10,6,7,4,17,Hubert Van Innis (4 medals)
