
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Tucker Murphy,1,1,0,1,,,,,
2,2012 Summer,Zander Kirkland,8,5,3,5,,,,,
3,2010 Winter,Tucker Murphy,1,1,0,1,,,,,
4,2008 Summer,Jill Terciera,6,2,4,4,,,,,
5,2006 Winter,Patrick Singleton,1,1,0,1,,,,,
6,2004 Summer,Peter Bromby,10,5,5,6,,,,,
7,2002 Winter,Patrick Singleton,1,1,0,1,,,,,
8,2000 Summer,MJ Tumbridge,6,4,2,4,,,,,
9,1998 Winter,John Hoskins,1,1,0,1,,,,,
10,1996 Summer,Brian Wellman,9,7,2,4,,,,,
11,1994 Winter,John Hoskins,1,1,0,1,,,,,
12,1992 Summer,Brian Wellman,20,14,6,4,,,,,
13,1992 Winter,,1,1,0,1,,,,,
14,1988 Summer,Nick Saunders,12,11,1,6,,,,,
15,1984 Summer,Nick Saunders,12,11,1,5,,,,,
16,1976 Summer,,16,15,1,3,,,1,1,Clarence Hill (1 medal)
17,1972 Summer,Kirk Cooper,9,9,0,3,,,,,
18,1968 Summer,Whitfield "Chummy" Hayward,6,6,0,2,,,,,
19,1964 Summer,Whitfield "Chummy" Hayward,4,4,0,1,,,,,
20,1960 Summer,Whitfield "Chummy" Hayward,9,9,0,1,,,,,
21,1956 Summer,,3,3,0,1,,,,,
22,1952 Summer,Whitfield "Chummy" Hayward,6,4,2,3,,,,,
23,1948 Summer,Whitfield "Chummy" Hayward,12,10,2,3,,,,,
24,1936 Summer,Perez Sord,5,5,0,1,,,,,
