
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Žana Novaković,5,3,2,3,,,,,
2,2012 Summer,Amel Mekić,6,4,2,4,,,,,
3,2010 Winter,Žana Novaković,5,2,3,3,,,,,
4,2008 Summer,Amel Mekić,5,4,1,4,,,,,
5,2006 Winter,Aleksandra Vasiljević,6,3,3,3,,,,,
6,2004 Summer,Nedžad Fazlija,9,7,2,8,,,,,
7,2002 Winter,Enis Bećirbegović,2,2,0,1,,,,,
8,2000 Summer,Elvir Krehmić,9,7,2,4,,,,,
9,1998 Winter,Mario Franjić,8,7,1,3,,,,,
10,1996 Summer,Islam Ðugum,9,7,2,7,,,,,
11,1994 Winter,Bekim Babić,10,8,2,4,,,,,
12,1992 Summer,Zlatan Saračević,10,6,4,6,,,,,
