
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Kenneth Medwood,3,2,1,2,,,,,
2,2008 Summer,Jonathan Williams,4,3,1,2,,,,,
3,2004 Summer,Emma Wade,2,1,1,1,,,,,
4,2000 Summer,Emma Wade,2,1,1,1,,,,,
5,1996 Summer,Eugène Muslar,5,2,3,2,,,,,
6,1992 Summer,,10,9,1,2,,,,,
7,1988 Summer,Fitzgerald Joseph,10,10,0,2,,,,,
8,1984 Summer,Lindford Gillitt,11,11,0,3,,,,,
9,1976 Summer,,4,4,0,2,,,,,
10,1972 Summer,Gimore Hinksen,1,1,0,1,,,,,
11,1968 Summer,,7,7,0,4,,,,,
