
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Aleksey Grishin,26,15,11,5,5,,1,6,Darya Domracheva (3 medals)
2,2012 Summer,Max Mirnyi,160,89,71,23,2,5,5,12,Aleksandra Gerasimenya and Vika Azarenko (2 medals)
3,2010 Winter,Oleg Antonenko,47,33,14,6,1,1,1,3,3 athletes with 1 medal
4,2008 Summer,Aleksandr Romankov,177,93,84,24,4,5,9,18,Roman Petrushenko and Vadim Makhnyov (2 medals)
5,2006 Winter,Aleksandr Popov,28,14,14,7,,1,,1,Dmitry Dashchinsky (1 medal)
6,2004 Summer,Aleksandr Medved,151,82,69,22,2,5,6,13,15 athletes with 1 medal
7,2002 Winter,Oleg Ryzhenkov,64,44,20,9,,,1,1,Aleksey Grishin (1 medal)
8,2000 Summer,Sergey Lishtvan,139,72,67,20,3,3,11,17,Igor Basinsky (2 medals)
9,1998 Winter,Aleksandr Popov,59,44,15,9,,,2,2,Aleksey Aydarov and Dmitry Dashchinsky (1 medal)
10,1996 Summer,Igor Astapkovich,157,91,66,19,1,6,8,15,Vitaly Shcherbo (4 medals)
11,1994 Winter,Igor Zhelezovsky,33,21,12,7,,2,,2,Svetlana Paramygina and Igor Zhelezovsky (1 medal)
