
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Karen Milenka Torrez Guzman,5,3,2,3,,,,,
2,2008 Summer,César Menacho,7,4,3,5,,,,,
3,2004 Summer,Geovanna Irusta,7,4,3,5,,,,,
4,2000 Summer,Marco Condori,5,3,2,3,,,,,
5,1996 Summer,Policarpio Calizaya,8,6,2,5,,,,,
6,1992 Summer,,13,8,5,6,,,,,
7,1992 Winter,Guillermo Avila,5,5,0,1,,,,,
8,1988 Summer,Katerine Moreno,7,6,1,6,,,,,
9,1988 Winter,Guillermo Avila,6,6,0,1,,,,,
10,1984 Summer,,11,10,1,6,,,,,
11,1984 Winter,,3,3,0,1,,,,,
12,1980 Winter,Billy Farwig,3,3,0,1,,,,,
13,1976 Summer,,4,4,0,4,,,,,
14,1972 Summer,Roberto Nielsen-Reyes,11,11,0,3,,,,,
15,1968 Summer,,4,4,0,3,,,,,
16,1964 Summer,,1,1,0,1,,,,,
17,1956 Winter,René Farwig,1,1,0,1,,,,,
18,1936 Summer,Alberto Conrad,2,2,0,2,,,,,
