
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Mariya Kirkova,18,13,5,6,,,,,
2,2012 Summer,Yordan Yovchev,63,37,26,17,,1,1,2,Stanka Zlateva and Tervel Pulev (1 medal)
3,2010 Winter,Aleksandra Zhekova,19,12,7,6,,,,,
4,2008 Summer,Petar Stoychev,70,43,27,15,1,1,3,5,5 athletes with 1 medal
5,2006 Winter,Ekaterina Dafovska,21,11,10,8,,1,,1,Evgeniya Radanova (1 medal)
6,2004 Summer,Mariya Grozdeva,95,49,46,19,2,1,9,12,Yordan Yovchev and Mariya Grozdeva (2 medals)
7,2002 Winter,Stefan Georgiev,23,13,10,7,,1,2,3,Evgeniya Radanova (2 medals)
8,2000 Summer,Ivo Yanakiev,91,52,39,16,5,6,2,13,Petar Merkov and Yordan Yovchev (2 medals)
9,1998 Winter,Lyubomir Popov,19,8,11,6,1,,,1,Ekaterina Dafovska (1 medal)
10,1996 Summer,Dimo Tonev,110,74,36,17,3,7,5,15,21 athletes with 1 medal
11,1994 Winter,Nadezhda Aleksieva,17,10,7,7,,,,,
12,1992 Summer,Ivaylo Yordanov,138,87,51,19,3,7,6,16,Nikolay Bukhalov (2 medals)
13,1992 Winter,Iva Karagiozova-Shkodreva,30,22,8,7,,,,,
14,1988 Summer,Vasil Etropolski,172,104,68,17,10,12,13,35,Vanya Gesheva (3 medals)
15,1988 Winter,Vladimir Velichkov,26,24,2,7,,,,,
16,1984 Winter,Vladimir Velichkov,16,15,1,5,,,,,
17,1980 Summer,Aleksandar Tomov,271,183,88,20,8,16,17,41,Lyubomir Lyubenov and Stoyan Delchev (2 medals)
18,1980 Winter,Petar Popangelov,8,8,0,3,,,1,1,Ivan Lebanov (1 medal)
19,1976 Summer,Aleksandar Tomov,158,105,53,14,6,9,7,22,39 athletes with 1 medal
20,1976 Winter,,29,29,0,4,,,,,
21,1972 Summer,Dimitar Zlatanov,130,106,24,15,6,10,5,21,22 athletes with 1 medal
22,1972 Winter,,4,4,0,2,,,,,
23,1968 Summer,Prodan Gardzhev,112,102,10,13,2,4,3,9,26 athletes with 1 medal
24,1968 Winter,,6,2,4,2,,,,,
25,1964 Summer,Enyu Valchev,63,56,7,9,3,5,2,10,10 athletes with 1 medal
26,1964 Winter,,7,3,4,2,,,,,
27,1960 Summer,Georgi Panov,98,89,9,12,1,3,3,7,7 athletes with 1 medal
28,1960 Winter,,7,4,3,2,,,,,
29,1956 Summer,Georgi Panov,43,40,3,6,1,3,1,5,18 athletes with 1 medal
30,1956 Winter,,7,6,1,2,,,,,
31,1956 Equestrian,,4,4,0,1,,,,,
32,1952 Summer,Boris Nikolov,63,54,9,8,,,1,1,Boris Nikolov (1 medal)
33,1952 Winter,,10,10,0,2,,,,,
34,1948 Winter,,4,4,0,3,,,,,
35,1936 Summer,Lyuben Doychev,26,26,0,7,,,,,
36,1936 Winter,,7,7,0,2,,,,,
37,1932 Summer,,2,2,0,1,,,,,
38,1928 Summer,Todor Semov,5,5,0,2,,,,,
39,1924 Summer,Kiril Petrunov,24,24,0,4,,,,,
