
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Dow Travers,1,1,0,1,,,,,
2,2012 Summer,Kemar Hyman,4,4,0,2,,,,,
3,2010 Winter,Dow Travers,1,1,0,1,,,,,
4,2008 Summer,Ronald Forbes,4,3,1,2,,,,,
5,2004 Summer,Cydonie Mothersill,5,3,2,2,,,,,
6,2000 Summer,Kareem Streete-Thompson,3,1,2,2,,,,,
7,1996 Summer,Carson Ebanks,9,8,1,3,,,,,
8,1992 Summer,,10,9,0,3,,,,,
9,1988 Summer,Alfred Ebanks,8,7,1,2,,,,,
10,1984 Summer,Carson Ebanks,8,7,1,2,,,,,
11,1976 Summer,,2,2,0,1,,,,,
