
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Lorène Bazolo,7,4,3,3,,,,,
2,2008 Summer,Pamela Mouele-Mboussi,5,3,2,3,,,,,
3,2004 Summer,Rony Bakale,5,2,3,4,,,,,
4,2000 Summer,Marien Michel Ngouabi,5,3,2,3,,,,,
5,1996 Summer,Léontine Tsiba,5,3,2,3,,,,,
6,1992 Summer,,7,6,1,2,,,,,
7,1988 Summer,Jean-Didiace Bémou,7,5,2,1,,,,,
8,1984 Summer,Simone Nkabou,9,8,1,2,,,,,
9,1980 Summer,,23,9,14,3,,,,,
10,1972 Summer,,6,6,0,1,,,,,
11,1964 Summer,,2,2,0,1,,,,,
