
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Carine Ngarlemdana,2,0,2,2,,,,,
2,2008 Summer,Hinikissa Ndikert,2,1,1,1,,,,,
3,2004 Summer,Brahim Abdoulaye,1,0,1,1,,,,,
4,2000 Summer,Gana Abba Kimet,2,1,1,1,,,,,
5,1996 Summer,Kaltouma Nadjina,4,3,1,1,,,,,
6,1992 Summer,,6,5,1,2,,,,,
7,1988 Summer,Paul Ngadjadoum,6,6,0,1,,,,,
8,1984 Summer,Ousman Miangoto,3,3,0,1,,,,,
9,1972 Summer,Ahmed Senoussi,4,4,0,2,,,,,
10,1968 Summer,,3,3,0,1,,,,,
11,1964 Summer,,2,2,0,1,,,,,
