
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Dominiqe Ohaco,6,3,3,3,,,,,
2,2012 Summer,Denisse van Lamoen,35,21,14,17,,,,,
3,2010 Winter,Jorge Mandrú,3,2,1,1,,,,,
4,2008 Summer,Fernando González,26,20,6,14,,1,,1,Fernando González (1 medal)
5,2006 Winter,Daniela Anguita,9,5,4,2,,,,,
6,2004 Summer,Kristel Köbrich,22,16,6,11,2,,1,3,Nicolás Massú and Fernando González (2 medals)
7,2002 Winter,Anita Irarrazábal,6,4,2,2,,,,,
8,2000 Summer,Nicolás Massú,50,43,7,14,,,1,1,17 athletes with 1 medal
9,1998 Winter,Duncan Grob,3,3,0,1,,,,,
10,1996 Summer,Sebastián Keitel,21,16,5,10,,,,,
11,1994 Winter,Nils Linneberg,3,3,0,1,,,,,
12,1992 Summer,Gert Weil,12,9,3,7,,,,,
13,1992 Winter,Paulo Oppliger,5,5,0,1,,,,,
14,1988 Summer,Gert Weil,17,16,1,6,,1,,1,Alfonso de Iruarrízaga (1 medal)
15,1988 Winter,Nils Linneberg,5,5,0,1,,,,,
16,1984 Summer,Carlos Rossi,52,50,2,8,,,,,
17,1984 Winter,Alfredo Maturana,4,4,0,1,,,,,
18,1976 Summer,,7,7,0,4,,,,,
19,1976 Winter,,5,5,0,1,,,,,
20,1972 Summer,René Varas,11,9,2,5,,,,,
21,1968 Summer,Rolf Hoppe,21,19,2,4,,,,,
22,1968 Winter,,4,3,1,1,,,,,
23,1964 Summer,Aquiles Gloffka,14,14,0,6,,,,,
24,1964 Winter,,5,5,0,1,,,,,
25,1960 Summer,Marlene Ahrens,9,8,1,3,,,,,
26,1960 Winter,Vicente Vera,5,5,0,1,,,,,
27,1956 Summer,Marlene Ahrens,33,31,2,8,,2,2,4,4 athletes with 1 medal
28,1956 Winter,,3,3,0,1,,,,,
29,1952 Summer,Adriana Millard,59,55,4,9,,2,,2,Óscar Cristi (2 medals)
30,1952 Winter,,3,3,0,1,,,,,
31,1948 Summer,Mario Recordón,54,50,4,9,,,,,
32,1948 Winter,,4,4,0,1,,,,,
33,1936 Summer,Rafael Zúñiga,40,39,1,8,,,,,
34,1928 Summer,Manuel Plaza,38,38,0,6,,1,,1,Manuel Plaza (1 medal)
35,1924 Summer,Manuel Plaza,13,13,0,5,,,,,
36,1920 Summer,Arturo Medina,2,2,0,1,,,,,
37,1912 Summer,Leopoldo Palma,14,14,0,4,,,,,
