
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Tong Jian,62,26,36,9,3,4,2,9,Han Tianyu and Wu Dajing (2 medals)
2,2012 Summer,Yi Jianlian,375,160,215,29,38,27,23,88,Sun Yang (4 medals)
3,2010 Winter,Han Xiaopeng,86,30,56,10,5,2,4,11,Wang Meng (3 medals)
4,2008 Summer,Yao Ming,599,310,289,34,51,21,28,100,5 athletes with 3 medals
5,2006 Winter,Yang Yang (A),73,35,38,9,2,4,5,11,Wang Meng (3 medals)
6,2004 Summer,Yao Ming,384,136,248,31,32,17,14,63,6 athletes with 2 medals
7,2002 Winter,Zhang Min,66,21,45,7,2,2,4,8,Yang Yang (A) (3 medals)
8,2000 Summer,Liu Yudong,271,91,180,28,28,16,14,58,15 athletes with 2 medals
9,1998 Winter,Zhao Hongbo,57,15,42,7,,6,2,8,Yang Yang (S) (3 medals)
10,1996 Summer,Liu Yudong,294,111,183,25,16,22,12,50,Li Xiaoshuang and Le Jingyi (3 medals)
11,1994 Winter,Liu Yanfei,24,7,17,5,,1,2,3,3 athletes with 1 medal
12,1992 Summer,Song Ligang,244,117,127,23,16,22,16,54,4 athletes with 3 medals
13,1992 Winter,Song Chen,32,12,20,6,,3,,3,Ye Qiaobo (2 medals)
14,1988 Summer,Song Tao,273,149,124,25,5,11,12,28,8 athletes with 2 medals
15,1988 Winter,Zhang Zhubin,13,6,7,3,,,,,
16,1984 Summer,Wang Libin,215,132,83,19,15,8,9,32,Li Ning (6 medals)
17,1984 Winter,Zhao Shijian,37,21,16,5,,,,,
18,1980 Winter,Zhao Weichang,24,13,11,5,,,,,
19,1952 Summer,,1,1,0,1,,,,,
20,1948 Summer,Wee Tian Siak,31,30,1,6,,,,,
21,1936 Summer,Li Huitang,54,52,2,7,,,,,
22,1932 Summer,Liu Changchun,1,1,0,1,,,,,
