
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ben Youssef Méité,9,4,5,6,,,,,
2,2008 Summer,Amandine Allou Affoué,21,19,2,5,,,,,
3,2004 Summer,Mariam Bah,5,2,3,3,,,,,
4,2000 Summer,Ibrahim Méité,14,7,7,5,,,,,
5,1996 Summer,Jean-Olivier Zirignon,11,10,1,4,,,,,
6,1992 Summer,,13,8,5,3,,,,,
7,1988 Summer,René Djédjémél,28,11,17,5,,,,,
8,1984 Summer,Avognan Nogboun,15,14,1,4,,1,,1,Gabriel Tiacoh (1 medal)
9,1976 Summer,,8,7,1,1,,,,,
10,1972 Summer,Simbara Maki,11,11,0,2,,,,,
11,1968 Summer,,10,10,0,2,,,,,
12,1964 Summer,,9,9,0,2,,,,,
