
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Laure Ali,32,10,22,9,,,,,
2,2008 Summer,Franck Martial Moussima,32,25,7,9,1,,,1,Françoise Mbango (1 medal)
3,2004 Summer,Vencelas Dabaya,17,10,7,5,1,,,1,Françoise Mbango (1 medal)
4,2002 Winter,Isaac Menyoli,1,1,0,1,,,,,
5,2000 Summer,Cécile Ngambi,34,25,9,4,1,,,1,18 athletes with 1 medal
6,1996 Summer,Georgette N'Koma,15,11,4,5,,,,,
7,1992 Summer,,8,3,5,2,,,,,
8,1988 Summer,Frédéric Ebong-Salle,15,13,2,4,,,,,
9,1984 Summer,Issa Hayatou,46,42,4,6,,,1,1,Martin N'Dongo Ebanga (1 medal)
10,1980 Summer,,25,22,3,5,,,,,
11,1976 Summer,,4,4,0,1,,,,,
12,1972 Summer,Gaston Malam,11,11,0,3,,,,,
13,1968 Summer,,5,5,0,2,,1,,1,Joseph Bessala (1 medal)
14,1964 Summer,,1,1,0,1,,,,,
