
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Mariana Pajón,101,45,56,19,1,3,4,8,8 athletes with 1 medal
2,2010 Winter,Cynthia Denzler,1,0,1,1,,,,,
3,2008 Summer,María Luisa Calle,67,43,24,16,,1,1,2,Diego Fernando Salazar and Jackeline Rentería (1 medal)
4,2004 Summer,Carmenza Delgado,53,32,21,15,,,2,2,María Luisa Calle and Mabel Mosquera (1 medal)
5,2000 Summer,María Isabel Urrutia,44,25,19,13,1,,,1,María Isabel Urrutia (1 medal)
6,1996 Summer,Marlon Pérez,48,39,9,9,,,,,
7,1992 Summer,Bernardo Tovar,49,46,3,11,,,1,1,Ximena Restrepo (1 medal)
8,1988 Summer,Jorge Molina,40,34,6,10,,,1,1,Jorge Julio (1 medal)
9,1984 Summer,Pablo Restrepo,39,36,3,8,,1,,1,Helmut Bellingrodt (1 medal)
10,1980 Summer,,23,23,0,3,,,,,
11,1976 Summer,,35,32,3,7,,,,,
12,1972 Summer,Alfonso Pérez,59,55,4,8,,1,2,3,3 athletes with 1 medal
13,1968 Summer,Ricardo González,43,38,5,5,,,,,
14,1964 Summer,Emilio Echeverry,20,20,0,6,,,,,
15,1960 Summer,Emilio Echeverry,16,16,0,5,,,,,
16,1956 Summer,Jaime Aparicio,26,26,0,6,,,,,
17,1948 Summer,,6,6,0,3,,,,,
18,1936 Summer,José Domingo Sánchez,5,5,0,1,,,,,
19,1932 Summer,Jorge Perry,2,2,0,2,,,,,
20,1900 Summer,,1,1,0,1,,,,,Francis Henriquez de Zubiría (1 medal)
