
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Gabriela Traña,11,8,3,6,,,,,
2,2008 Summer,Allan Segura,8,6,2,4,,,,,
3,2006 Winter,Arthur James Barton,1,1,0,1,,,,,
4,2004 Summer,David Fernández,20,17,3,6,,,,,
5,2002 Winter,,1,1,0,1,,,,,
6,2000 Summer,Karina Fernández,7,5,2,5,,,2,2,Claudia Poll (2 medals)
7,1996 Summer,Henry Núñez,11,6,5,6,1,,,1,Claudia Poll (1 medal)
8,1992 Summer,Alvaro Guardia,16,11,5,6,,,,,
9,1992 Winter,,4,4,0,1,,,,,
10,1988 Summer,Sigrid Niehaus,16,9,7,6,,1,,1,Silvia Poll (1 medal)
11,1988 Winter,Arturo Kinch,2,2,0,2,,,,,
12,1984 Summer,Mariano Lara,28,27,1,5,,,,,
13,1984 Winter,,3,3,0,3,,,,,
14,1980 Summer,María París,29,28,1,5,,,,,
15,1980 Winter,Arturo Kinch,1,1,0,1,,,,,
16,1976 Summer,María París,5,4,1,4,,,,,
17,1972 Summer,Hugo Chamberlain,3,3,0,3,,,,,
18,1968 Summer,Rodolfo Castillo,18,17,1,6,,,,,
19,1964 Summer,,2,2,0,1,,,,,
20,1936 Summer,Bernardo de la Guardia,1,1,0,1,,,,,
