
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Ivica Kostelić,11,7,4,3,,1,,1,Ivica Kostelić (1 medal)
2,2012 Summer,Venio Losert,107,64,43,17,3,1,2,6,35 athletes with 1 medal
3,2010 Winter,Jakov Fak,19,12,7,4,,2,1,3,Ivica Kostelić (2 medals)
4,2008 Summer,Ivano Balić,99,80,19,15,,2,3,5,5 athletes with 1 medal
5,2006 Winter,Janica Kostelić,23,16,7,6,1,2,,3,Janica Kostelić (2 medals)
6,2004 Summer,Dubravko Šimenc,81,66,15,14,1,2,2,5,21 athletes with 1 medal
7,2002 Winter,Janica Kostelić,13,8,5,5,3,1,,4,Janica Kostelić (4 medals)
8,2000 Summer,Zoran Primorac,88,63,25,12,1,,1,2,10 athletes with 1 medal
9,1998 Winter,Janica Kostelić,6,4,2,3,,,,,
10,1996 Summer,Perica Bukić,84,75,9,14,1,1,,2,28 athletes with 1 medal
11,1994 Winter,Vedran Pavlek,3,3,0,2,,,,,
12,1992 Summer,Goran Ivanišević,39,36,3,11,,1,2,3,Goran Ivanišević (2 medals)
13,1992 Winter,Tomislav Čižmešija,4,3,1,3,,,,,
