
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Mijaín López,109,65,44,14,5,3,6,14,14 athletes with 1 medal
2,2008 Summer,Mijaín López,158,102,56,18,2,11,11,24,47 athletes with 1 medal
3,2004 Summer,Iván Pedroso,151,97,54,18,9,7,11,27,62 athletes with 1 medal
4,2000 Summer,Félix Savón,229,147,82,24,11,11,7,29,65 athletes with 1 medal
5,1996 Summer,Rolando Tucker,164,111,53,15,9,8,8,25,55 athletes with 1 medal
6,1992 Summer,Héctor Milián,176,126,50,16,14,6,11,31,Elvis Gregory (2 medals)
7,1980 Summer,Teófilo Stevenson,208,175,33,19,8,7,5,20,20 athletes with 1 medal
8,1976 Summer,Teófilo Stevenson,156,132,24,14,6,4,3,13,Alberto Juantorena (2 medals)
9,1972 Summer,Teófilo Stevenson,137,109,28,14,3,1,4,8,Silvia Chivás (2 medals)
10,1968 Summer,Héctor Ramírez,115,101,14,13,,4,,4,10 athletes with 1 medal
11,1964 Summer,Ernesto Varona,27,25,2,6,,1,,1,Enrique Figuerola (1 medal)
12,1960 Summer,José Yañez,12,9,3,8,,,,,
13,1956 Summer,Manuel Sanguily,16,15,1,5,,,,,
14,1952 Summer,Fico López,29,29,0,8,,,,,
15,1948 Summer,Raúl García,53,53,0,12,,1,,1,Carlos de Cárdenas Culmell and Carlos de Cárdenas Plá (1 medal)
16,1932 Summer,,3,3,0,1,,,,,
17,1928 Summer,José Barrientos,1,1,0,1,,,,,
18,1924 Summer,Ramón Fonst,9,9,0,2,,,,,
19,1904 Summer,,3,3,0,2,3,,,3,Ramón Fonst (3 medals)
20,1900 Summer,,1,1,0,1,1,1,,2,Ramón Fonst (2 medals)
