
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Konstantinos Papamichael,1,1,0,1,,,,,
2,2012 Summer,Markos Pagdatis,13,9,4,7,,1,,1,Pavlos Kontides (1 medal)
3,2010 Winter,Christopher Papamichalopoulos,2,1,1,1,,,,,
4,2008 Summer,Giorgos Akhilleos,17,7,10,6,,,,,
5,2006 Winter,Theodoros Khristodoulou,1,1,0,1,,,,,
6,2004 Summer,Giorgos Akhilleos,20,13,7,7,,,,,
7,2002 Winter,Theodoros Khristodoulou,1,1,0,1,,,,,
8,2000 Summer,Antonis Andreou,22,17,5,4,,,,,
9,1998 Winter,Andreas Vasili,1,1,0,1,,,,,
10,1996 Summer,Anninos Markoullidis,17,15,2,5,,,,,
11,1994 Winter,Karolina Fotiadou,1,0,1,1,,,,,
12,1992 Summer,Marios Khatziandreou,17,13,4,8,,,,,
13,1992 Winter,Sokratis Aristodimou,4,3,1,1,,,,,
14,1988 Summer,Mikhalakis Tymbios,9,7,2,4,,,,,
15,1988 Winter,Karolina Fotiadou,3,2,1,1,,,,,
16,1984 Summer,Marios Kassianidis,10,10,0,4,,,,,
17,1984 Winter,,5,4,1,1,,,,,
18,1980 Summer,Kostas Papakostas,14,12,2,3,,,,,
19,1980 Winter,Andreas Pilavakis,3,2,1,1,,,,,
