
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Šárka Záhrobská-Strachová,87,63,24,13,2,4,2,8,Ondřej Moravec (3 medals)
2,2012 Summer,Petr Koukal,133,68,65,21,4,3,3,10,14 athletes with 1 medal
3,2010 Winter,Jaromír Jágr,90,68,22,13,2,,4,6,Martina Sáblíková (3 medals)
4,2008 Summer,Štěpánka Hilgertová,134,75,59,21,3,3,,6,Kateřina Kůrková-Emmons (2 medals)
5,2006 Winter,Martina Sáblíková,83,63,20,13,1,2,1,4,Kateřina Neumannová (2 medals)
6,2004 Summer,Květoslav Svoboda,142,80,62,20,1,3,5,9,13 athletes with 1 medal
7,2002 Winter,Aleš Valenta,76,57,19,13,1,2,,3,Kateřina Neumannová (2 medals)
8,2000 Summer,Martin Doktor,119,86,33,20,2,3,3,8,9 athletes with 1 medal
9,1998 Winter,Lubomír Buchta,61,48,13,9,1,1,1,3,Kateřina Neumannová (2 medals)
10,1996 Summer,Václav Chalupa Jr.,115,76,39,17,4,3,4,11,Jana Novotná and Martin Doktor (2 medals)
11,1994 Winter,Pavel Benc,63,47,16,7,,,,,
