
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Lene Nielsen,10,6,4,3,,,,,
2,2012 Summer,Kim Knudsen,114,66,48,17,2,4,3,9,16 athletes with 1 medal
3,2010 Winter,Sophie Fjellvang-Sølling,17,9,8,7,,,,,
4,2008 Summer,Joachim Olsen,84,64,20,16,2,2,3,7,19 athletes with 1 medal
5,2006 Winter,Dorthe Holm,4,0,4,1,,,,,
6,2004 Summer,Eskild Ebbesen,92,48,44,16,2,1,5,8,29 athletes with 1 medal
7,2002 Winter,Ulrik Schmidt,11,5,6,2,,,,,
8,2000 Summer,Jesper Bank,97,53,44,16,2,3,1,6,25 athletes with 1 medal
9,1998 Winter,Helena Blach Lavrsen,12,5,7,6,,1,,1,5 athletes with 1 medal
10,1996 Summer,Thomas Stuer-Lauridsen,119,54,65,14,4,1,1,6,23 athletes with 1 medal
11,1994 Winter,Michael Tyllesen,4,4,0,3,,,,,
12,1992 Summer,Jørgen Bojsen-Møller,110,77,33,14,1,1,4,6,14 athletes with 1 medal
13,1992 Winter,Ebbe Hartz,6,4,2,3,,,,,
14,1988 Summer,Anne Grethe Jensen-Törnblad,78,57,21,15,2,1,1,4,7 athletes with 1 medal
15,1988 Winter,Lars Dresler,1,1,0,1,,,,,
16,1984 Summer,Michael Markussen,60,49,11,11,,3,3,6,Henning Lynge Jakobsen (2 medals)
17,1980 Summer,Jørgen Lindhardsen,58,55,3,13,2,1,2,5,8 athletes with 1 medal
18,1976 Summer,Judith Andersen,66,56,10,15,1,,2,3,8 athletes with 1 medal
19,1972 Summer,Peder Pedersen,126,114,12,17,1,,,1,Niels Fredborg (1 medal)
20,1968 Summer,Erik Hansen,64,60,4,11,1,4,3,8,Mogens Frey Jensen (2 medals)
21,1968 Winter,Kirsten Carlsen,3,2,1,1,,,,,
22,1964 Summer,Henning Wind,60,53,7,10,2,1,3,6,12 athletes with 1 medal
23,1964 Winter,Svend Carlsen,2,2,0,2,,,,,
24,1960 Summer,Benny Schmidt,100,88,12,15,2,3,1,6,Erik Hansen (2 medals)
25,1960 Winter,,1,1,0,1,,,,,
26,1956 Summer,Ole Hviid Jensen,31,27,4,10,1,1,1,3,5 athletes with 1 medal
27,1956 Equestrian,Lars Kirkebjerg,6,4,2,1,,1,,1,Lis Hartel (1 medal)
28,1952 Summer,Erik Swane Lund,129,115,14,15,2,1,3,6,9 athletes with 1 medal
29,1952 Winter,Per Cock-Clausen,1,1,0,1,,,,,
30,1948 Summer,Vagn Loft,162,144,18,17,5,8,9,22,Karen Margrethe Harup (3 medals)
31,1948 Winter,Knud Tønsberg,2,2,0,2,,,,,
32,1936 Summer,Erik Hammer Sørensen,121,105,16,14,,2,3,5,6 athletes with 1 medal
33,1932 Summer,Axel Bloch,43,35,8,9,,5,3,8,11 athletes with 1 medal
34,1928 Summer,Marius Jørgensen,91,82,9,14,3,2,4,9,Henry Hansen and Willy Falck Hansen (2 medals)
35,1924 Summer,Peter Ryefelt,89,77,12,13,2,6,3,11,14 athletes with 1 medal
36,1920 Summer,Robert Johnsen,154,150,4,14,3,9,1,13,Niels Larsen and Lars Jørgen Madsen (2 medals)
37,1912 Summer,Arne Højme,152,151,1,13,1,6,5,12,Niels Larsen and Lars Jørgen Madsen (2 medals)
38,1908 Summer,Aage Holm,78,78,0,8,,2,3,5,17 athletes with 1 medal
39,1906 Summer,Rudolf Andreas Kraft,49,49,0,8,3,2,1,6,Søren Jensen (2 medals)
40,1900 Summer,,13,13,0,5,1,3,2,6,Anders Peter Nielsen (3 medals)
41,1896 Summer,,3,3,0,5,1,2,3,6,Viggo Jensen and Holger Nielsen (3 medals)
