
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Yulis Mercedes,33,13,20,10,1,1,,2,Félix Sánchez and Luguelín Santos (1 medal)
2,2008 Summer,Félix Sánchez,24,18,6,9,1,1,,2,Félix Díaz and Yulis Mercedes (1 medal)
3,2004 Summer,Félix Sánchez,33,17,16,9,1,,,1,Félix Sánchez (1 medal)
4,2000 Summer,Wanda Rijo,13,11,2,5,,,,,
5,1996 Summer,Joan Guzmán,16,12,4,7,,,,,
6,1992 Summer,,32,30,2,5,,,,,
7,1988 Summer,Juan Núñez,16,15,1,5,,,,,
8,1984 Summer,Pedro Nolasco,19,14,4,7,,,1,1,Pedro Nolasco (1 medal)
9,1980 Summer,Marisela Peralta,6,5,1,4,,,,,
10,1976 Summer,Eleoncio Mercedes,10,9,1,3,,,,,
11,1972 Summer,,5,5,0,3,,,,,
12,1968 Summer,,18,18,0,5,,,,,
13,1964 Summer,Alberto Torres,1,1,0,1,,,,,
