
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,César de Cesare,36,23,13,11,,,,,
2,2008 Summer,Alexandra Escobar,25,17,8,9,,1,,1,Jefferson Pérez (1 medal)
3,2004 Summer,Alexandra Escobar,16,11,5,7,,,,,
4,2000 Summer,Martha Tenorio,10,7,3,5,,,,,
5,1996 Summer,Felipe Delgado,19,17,2,7,1,,,1,Jefferson Pérez (1 medal)
6,1992 Summer,María Cangá,13,6,7,6,,,,,
7,1988 Summer,Liliana Chalá,13,10,3,6,,,,,
8,1984 Summer,Héctor Hurtado,11,10,1,6,,,,,
9,1980 Summer,Nancy Vallecilla,12,11,1,5,,,,,
10,1976 Summer,Nelson Suárez,5,5,0,4,,,,,
11,1972 Summer,Abdalá Bucaram Ortiz,2,2,0,2,,,,,
12,1968 Summer,Fernando González,15,14,1,6,,,,,
13,1924 Summer,Alberto Jurado,3,3,0,1,,,,,
