
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Hesham Misbah,109,75,34,21,,2,,2,Karam Gaber and Alaaeldin Abouelkassem (1 medal)
2,2008 Summer,Karam Gaber,101,74,27,19,,,1,1,Hesham Misbah (1 medal)
3,2004 Summer,Ali Ibrahim,97,81,16,17,1,1,3,5,5 athletes with 1 medal
4,2000 Summer,Yahia Rashwan,89,74,15,20,,,,,
5,1996 Summer,Hosam Abdallah,29,27,2,8,,,,,
6,1992 Summer,,75,72,3,13,,,,,
7,1988 Summer,Mohamed Khorshed,49,48,1,12,,,,,
8,1984 Summer,Mohamed Sayed Soliman,114,108,6,15,,1,,1,Mohamed Ali Rashwan (1 medal)
9,1984 Winter,Jamil El-Reedy,1,1,0,1,,,,,
10,1976 Summer,,26,26,0,4,,,,,
11,1972 Summer,Kamal Kamel Mohammed,23,23,0,5,,,,,
12,1968 Summer,,30,30,0,7,,,,,
13,1964 Summer,,73,73,0,9,,,,,
14,1956 Equestrian,,3,3,0,1,,,,,
15,1952 Summer,,106,106,0,14,,,1,1,Abdel Aal Rashid (1 medal)
16,1948 Summer,,85,85,0,12,2,2,1,5,5 athletes with 1 medal
17,1936 Summer,Fathallah Abdel Rahman,53,53,0,10,2,1,2,5,5 athletes with 1 medal
18,1928 Summer,,32,32,0,5,2,1,1,4,Farid Simaika (2 medals)
19,1924 Summer,,24,24,0,9,,,,,
20,1920 Summer,,18,18,0,6,,,,,
21,1906 Summer,,2,2,0,3,,,,,
