
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Evelyn García,10,5,5,7,,,,,
2,2008 Summer,Eva Dimas,11,4,7,9,,,,,
3,2004 Summer,Evelyn García,7,2,5,6,,,,,
4,2000 Summer,Eva Dimas,8,4,4,7,,,,,
5,1996 Summer,Juan Vargas,8,6,2,5,,,,,
6,1992 Summer,María José Marenco,4,3,1,3,,,,,
7,1988 Summer,Gustavo Manzur,6,5,1,4,,,,,
8,1984 Summer,Kriscia García,10,9,1,5,,,,,
9,1972 Summer,Salvador Vilanova,11,11,0,2,,,,,
10,1968 Summer,Salvador Vilanova,60,52,8,7,,,,,
11,1932 Summer,,1,1,0,1,,,,,
