
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Javier Fernández,20,14,6,7,,,,,
2,2012 Summer,Pau Gasol,278,168,110,27,3,10,4,17,3 athletes with 2 medals
3,2010 Winter,Queralt Castellet,18,10,8,7,,,,,
4,2008 Summer,David Cal,284,163,121,29,5,10,3,18,4 athletes with 2 medals
5,2006 Winter,María José Rienda,16,7,9,5,,,,,
6,2004 Summer,Isabel Fernández,317,177,140,27,3,11,6,20,3 athletes with 2 medals
7,2002 Winter,Íker Fernández,7,4,3,3,,,,,
8,2000 Summer,Manuel Estiarte,321,216,105,27,3,3,5,11,42 athletes with 1 medal
9,1998 Winter,Juan Jesús Gutiérrez,12,7,5,4,,,,,
10,1996 Summer,Luis Doreste,289,194,95,22,5,6,6,17,Arantxa Sánchez Vicario (2 medals)
11,1994 Winter,Ainhoa Ibarra,13,8,5,4,,,,,
12,1992 Summer,Felipe Crown Prince de Borbón,422,297,125,29,13,7,2,22,Arantxa Sánchez Vicario (2 medals)
13,1992 Winter,Blanca Fernández Ochoa,17,13,4,4,,,1,1,Blanca Fernández Ochoa (1 medal)
14,1988 Summer,Cristina Princess de Borbón,229,200,29,24,1,1,2,4,5 athletes with 1 medal
15,1988 Winter,Ainhoa Ibarra,12,7,5,5,,,,,
16,1984 Summer,Alejandro Abascal,179,163,16,23,1,2,2,5,19 athletes with 1 medal
17,1984 Winter,Blanca Fernández Ochoa,12,10,2,4,,,,,
18,1980 Summer,Herminio Menéndez,155,146,9,18,1,3,2,6,Herminio Menéndez (2 medals)
19,1980 Winter,Francisco Fernández Ochoa,8,5,3,3,,,,,
20,1976 Summer,Enrique Rodríguez,113,103,10,14,,2,,2,6 athletes with 1 medal
21,1976 Winter,Francisco Fernández Ochoa,4,4,0,1,,,,,
22,1972 Summer,Francisco Fernández Ochoa,123,118,5,17,,,1,1,Enrique Rodríguez (1 medal)
23,1972 Winter,Francisco Fernández Ochoa,3,2,1,1,1,,,1,Francisco Fernández Ochoa (1 medal)
24,1968 Summer,Gonzalo Duke Fernández,122,120,2,12,,,,,
25,1968 Winter,Aurelio García,20,20,0,3,,,,,
26,1964 Summer,Eduardo Dualde,51,48,3,9,,,,,
27,1964 Winter,Jorge Rodríguez,6,6,0,1,,,,,
28,1960 Summer,Jaime Belenguer,144,133,11,16,,,1,1,14 athletes with 1 medal
29,1960 Winter,Luis Sánchez,4,3,1,1,,,,,
30,1956 Winter,Luis Arias,9,9,0,3,,,,,
31,1956 Equestrian,Francisco Count de Gómez Jordana y Prats,6,6,0,1,,,,,
32,1952 Summer,Luis Omedes,27,27,0,7,,1,,1,Ángel León (1 medal)
33,1952 Winter,José Picurio,4,4,0,1,,,,,
34,1948 Summer,,65,65,0,11,,1,,1,3 athletes with 1 medal
35,1948 Winter,José Arias,6,6,0,1,,,,,
36,1936 Winter,Jesús Suárez,6,4,2,2,,,,,
37,1932 Summer,Julio Castro,7,7,0,3,,,1,1,Santiago Amat (1 medal)
38,1928 Summer,Diego Ordóñez,80,80,0,10,1,,,1,3 athletes with 1 medal
39,1924 Summer,Félix Mendizábal,95,93,2,15,,,,,
40,1920 Summer,Javier Bartrina,58,58,0,7,,2,,2,23 athletes with 1 medal
41,1900 Summer,,9,9,0,4,1,,,1,Francisco Villota and José de Amézola (1 medal)
