
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Indrek Tobreluts,25,18,7,6,,,,,
2,2012 Summer,Aleksander Tammert,32,23,9,11,,1,1,2,Gerd Kanter and Heiki Nabi (1 medal)
3,2010 Winter,Roland Lessing,30,18,12,4,,1,,1,Kristina Šmigun-Vähi (1 medal)
4,2008 Summer,Martin Padar,47,34,13,13,1,1,,2,3 athletes with 1 medal
5,2006 Winter,Eveli Saue,26,17,9,6,3,,,3,Kristina Šmigun-Vähi (2 medals)
6,2004 Summer,Erki Nool,42,31,11,10,,1,2,3,3 athletes with 1 medal
7,2002 Winter,Allar Levandi,17,14,3,5,1,1,1,3,Andrus Veerpalu (2 medals)
8,2000 Summer,Tõnu Tõniste,33,31,2,11,1,,2,3,3 athletes with 1 medal
9,1998 Winter,Kalju Ojaste,20,15,5,5,,,,,
10,1996 Summer,Jüri Jaanson,43,35,8,13,,,,,
11,1994 Winter,Allar Levandi,26,17,9,6,,,,,
12,1992 Summer,Heino Lipp,37,33,4,13,1,,1,2,3 athletes with 1 medal
13,1992 Winter,Ants Antson,19,14,5,4,,,,,
14,1936 Summer,Erich Altosaar,33,33,0,8,2,2,3,7,August Neo and Kristjan Palusalu (2 medals)
15,1936 Winter,Joh. Rosenfeld,5,3,2,4,,,,,
16,1932 Summer,Osvald Käpp,2,2,0,2,,,,,
17,1928 Summer,Gustav Kalkun,20,20,0,5,2,1,2,5,9 athletes with 1 medal
18,1928 Winter,Eduard Hiiop,2,2,0,1,,,,,
19,1924 Summer,Jüri Lossman,37,37,0,5,1,1,4,6,6 athletes with 1 medal
20,1920 Summer,Harald Tammer,14,14,0,3,1,2,,3,3 athletes with 1 medal
