
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Yanet Gebremedhin,33,18,15,2,3,1,3,7,Tirunesh Dibaba (2 medals)
2,2010 Winter,Robel Teklemariam,1,1,0,1,,,,,
3,2008 Summer,Miruts Yifter,27,14,13,1,4,1,2,7,Tirunesh Dibaba and Kenenisa Bekele (2 medals)
4,2006 Winter,Robel Teklemariam,1,1,0,1,,,,,
5,2004 Summer,Abel Aferalign,26,14,12,2,2,3,2,7,Kenenisa Bekele (2 medals)
6,2000 Summer,Derartu Tulu,26,15,11,2,4,1,3,8,Gete Wami (2 medals)
7,1996 Summer,Fita Bayissa,18,10,8,2,2,,1,3,3 athletes with 1 medal
8,1992 Summer,,20,14,6,2,1,,2,3,3 athletes with 1 medal
9,1980 Summer,,41,39,2,3,2,,2,4,Miruts Yifter (2 medals)
10,1972 Summer,Mamo Wolde,31,31,0,3,,,2,2,Mamo Wolde and Miruts Yifter (1 medal)
11,1968 Summer,Abebe Bikila,18,18,0,3,1,1,,2,Mamo Wolde (2 medals)
12,1964 Summer,Abebe Bikila,12,12,0,3,1,,,1,Abebe Bikila (1 medal)
13,1960 Summer,,10,10,0,2,1,,,1,Abebe Bikila (1 medal)
14,1956 Summer,,12,12,0,2,,,,,
