
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Josateki Naulu,9,6,3,6,,,,,
2,2008 Summer,Makelesi Bulikiobo-Batimala,6,4,2,5,,,,,
3,2004 Summer,Sisilia Rasokisoki,8,4,4,6,,,,,
4,2002 Winter,Laurence Thoms,1,1,0,1,,,,,
5,2000 Summer,Tony Philp,7,4,3,5,,,,,
6,1996 Summer,Jone Delai,17,14,3,5,,,,,
7,1994 Winter,Rusiate Rogoyawa,1,1,0,1,,,,,
8,1992 Summer,,18,14,4,4,,,,,
9,1988 Summer,Viliame Takayawa,23,19,4,5,,,,,
10,1988 Winter,Rusiate Rogoyawa,1,1,0,1,,,,,
11,1984 Summer,Viliame Takayawa,14,11,3,5,,,,,
12,1976 Summer,Miriama Tuisorisori-Chambault,2,1,1,1,,,,,
13,1972 Summer,Usaia Sotutu,2,2,0,1,,,,,
14,1968 Summer,,1,1,0,1,,,,,
15,1960 Summer,,2,2,0,1,,,,,
16,1956 Summer,,5,5,0,3,,,,,
