
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Enni Rukajärvi,99,66,33,9,1,3,1,5,Aino-Kaisa Saarinen and Kerttu Niskanen (2 medals)
2,2012 Summer,Hanna-Maria Seppälä,56,29,27,14,,1,2,3,5 athletes with 1 medal
3,2010 Winter,Ville Peltonen,91,58,33,10,,1,4,5,Aino-Kaisa Saarinen (2 medals)
4,2008 Summer,Juha Hirvi,57,31,26,14,1,1,2,4,5 athletes with 1 medal
5,2006 Winter,Janne Lahtela,90,59,31,11,,6,3,9,Matti Hautamäki (2 medals)
6,2004 Summer,Thomas Johanson,53,36,17,12,,2,,2,Marko Yli-Hannuksela and Marko Kemppainen (1 medal)
7,2002 Winter,Toni Nieminen,98,62,36,11,4,2,1,7,Samppa Lajunen (3 medals)
8,2000 Summer,Heli Rantanen,70,40,30,16,2,1,1,4,5 athletes with 1 medal
9,1998 Winter,Janne Ahonen,85,51,34,10,2,4,6,12,Mika Myllylä (3 medals)
10,1996 Summer,Mikko Kolehmainen,76,47,29,15,1,2,1,4,4 athletes with 1 medal
11,1994 Winter,Marja-Liisa Kirvesniemi-Hämäläinen,61,47,14,8,,1,5,6,Mika Myllylä (3 medals)
12,1992 Summer,Harri Koskela,88,60,28,16,1,2,2,5,7 athletes with 1 medal
13,1992 Winter,Timo Blomqvist,62,49,13,8,3,1,3,7,Toni Nieminen (3 medals)
14,1988 Summer,Jouko Salomäki,78,59,19,15,1,1,2,4,4 athletes with 1 medal
15,1988 Winter,Pertti Niittylä,53,46,7,7,4,1,2,7,Marjo Matikainen and Matti Nykänen (3 medals)
16,1984 Summer,Esko Rechardt,86,73,13,15,4,2,6,12,12 athletes with 1 medal
17,1984 Winter,Jorma Valtonen,45,40,5,6,4,3,6,13,Marja-Liisa Kirvesniemi-Hämäläinen (4 medals)
18,1980 Summer,Peter Tallberg,105,99,6,16,3,1,4,8,Kaarlo Maaninka (2 medals)
19,1980 Winter,Heikki Ikola,52,44,8,7,1,5,3,9,Juha Mieto (3 medals)
20,1976 Summer,Lasse Virén,83,77,6,14,4,2,,6,Lasse Virén (2 medals)
21,1976 Winter,Rauno Miettinen,47,38,9,8,2,4,1,7,Helena Kivioja-Takalo (3 medals)
22,1972 Summer,Ilkka Nummisto,96,89,7,16,3,1,4,8,Lasse Virén (2 medals)
23,1972 Winter,Juha Mieto,50,43,7,6,,4,1,5,Marjatta Kajosmaa (3 medals)
24,1968 Summer,Pentti Linnosvuo,66,60,6,13,1,2,1,4,4 athletes with 1 medal
25,1968 Winter,Veikko Kankkonen,52,44,8,7,1,2,2,5,Eero Mäntyranta (3 medals)
26,1964 Summer,Eugen Ekman,89,84,5,13,3,,2,5,5 athletes with 1 medal
27,1964 Winter,Veikko Hakulinen,51,45,6,7,3,4,3,10,Eero Mäntyranta (3 medals)
28,1960 Summer,Eeles Landström,117,107,10,14,1,1,3,5,6 athletes with 1 medal
29,1960 Winter,Paavo Korhonen,48,42,6,6,2,3,3,8,Veikko Hakulinen (3 medals)
30,1956 Summer,Eeles Landström,64,63,1,14,3,1,11,15,Wäinö Korhonen and Ole Mannonen (2 medals)
31,1956 Winter,Antti Hyvärinen,31,27,4,6,3,3,1,7,Veikko Hakulinen (3 medals)
32,1956 Equestrian,Erkki Estola,7,7,0,1,,,,,
33,1952 Summer,Väinö Suvivuo,258,228,30,18,6,3,13,22,3 athletes with 2 medals
34,1952 Winter,Heikki Hasu,50,45,5,7,3,4,2,9,3 athletes with 2 medals
35,1948 Summer,Hannes Sonck,129,123,6,16,10,8,6,24,Veikko Huhtanen (5 medals)
36,1948 Winter,Pekka Vanninen,24,24,0,5,1,3,2,6,9 athletes with 1 medal
37,1936 Summer,Akilles Järvinen,108,103,5,14,8,6,6,20,Aleksanteri Saarvala and Volmari Iso-Hollo (2 medals)
38,1936 Winter,Sulo Nurmela,19,19,0,5,1,2,3,6,Birger Wasenius (3 medals)
39,1932 Summer,Akilles Järvinen,40,40,0,5,5,8,12,25,Heikki Savolainen (4 medals)
40,1932 Winter,Ossi Blomqvist,7,7,0,3,1,1,1,3,Veli Saarinen (2 medals)
41,1928 Summer,Akilles Järvinen,69,67,2,11,8,8,9,25,Paavo Nurmi (3 medals)
42,1928 Winter,Esko Järvinen,18,17,1,5,2,1,1,4,Clas Thunberg (2 medals)
43,1924 Summer,Elmer Niklander,121,121,0,12,14,13,10,37,Ville Ritola (6 medals)
44,1924 Winter,,17,16,1,6,4,4,3,11,Clas Thunberg (5 medals)
45,1920 Summer,Emil Hagelberg,63,62,1,9,15,10,9,34,Paavo Nurmi (4 medals)
46,1912 Summer,Eino Saastamoinen,164,162,2,10,9,8,9,26,Hannes Kolehmainen (4 medals)
47,1908 Summer,Bruno Zilliacus,62,62,0,6,1,1,3,5,30 athletes with 1 medal
48,1906 Summer,,4,4,0,2,2,1,1,4,Verner Weckman and Verner Järvinen (2 medals)
