
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Jason Lamy-Chappuis,107,68,39,12,4,4,7,15,Martin Fourcade (3 medals)
2,2012 Summer,Laura Flessel-Colovic,324,182,142,28,11,11,13,35,Camille Muffat and Yannick Agnel (3 medals)
3,2010 Winter,Vincent Defrasne,104,67,37,13,2,3,6,11,3 athletes with 2 medals
4,2008 Summer,Tony Estanguet,309,188,121,25,7,16,18,41,Alain Bernard (3 medals)
5,2006 Winter,Bruno Mingeon,82,50,32,10,3,2,4,9,Florence Baverel-Robert and Vincent Defrasne (2 medals)
6,2004 Summer,Jackson Richardson,308,195,113,27,11,9,13,33,Laure Manaudou (3 medals)
7,2002 Winter,Carole Montillet-Carles,114,87,27,15,4,5,2,11,Raphaël Poirée (2 medals)
8,2000 Summer,David Douillet,337,211,126,28,13,14,11,38,Florian Rousseau (3 medals)
9,1998 Winter,Philippe Candeloro,106,75,31,12,2,1,5,8,15 athletes with 1 medal
10,1996 Summer,Marie-José Pérec,301,197,104,25,15,7,15,37,6 athletes with 2 medals
11,1994 Winter,Anne Briand-Bouthiaux,98,68,30,10,,1,4,5,Anne Briand-Bouthiaux (2 medals)
12,1992 Summer,Jean-François Lamour,339,241,98,25,8,5,16,29,Jean-François Lamour (2 medals)
13,1992 Winter,Fabrice Guy,109,79,30,12,3,5,1,9,12 athletes with 1 medal
14,1988 Summer,Philippe Riboud,266,192,74,23,6,4,6,16,Pierre Durand Jr. and Philippe Riboud (2 medals)
15,1988 Winter,Catherine Quittet,68,53,15,9,1,,1,2,Franck Piccard (2 medals)
16,1984 Summer,Angelo Parisi,238,189,49,21,5,7,16,28,4 athletes with 2 medals
17,1984 Winter,Yvon Mougel,32,22,10,7,,1,2,3,Perrine Pelen (2 medals)
18,1980 Summer,,121,98,23,13,6,5,3,14,4 athletes with 2 medals
19,1980 Winter,Fabienne Serrat,22,16,6,6,,,1,1,Perrine Pelen (1 medal)
20,1976 Summer,Daniel Morelon,206,177,29,18,2,3,4,9,Bernard Talvard (2 medals)
21,1976 Winter,Danièle Debernard,35,29,6,8,,,1,1,Danièle Debernard (1 medal)
22,1972 Summer,Jean-Claude Magnan,227,197,30,18,2,4,7,13,Christian Noël (2 medals)
23,1972 Winter,Patrick Pera,40,33,7,9,,1,2,3,3 athletes with 1 medal
24,1968 Summer,Kiki Caron,200,169,31,16,7,3,5,15,Pierre Trentin (3 medals)
25,1968 Winter,Gilbert Poirot,75,64,11,10,4,3,2,9,Jean-Claude Killy (3 medals)
26,1964 Summer,Michel Macquet,138,118,20,14,1,8,6,15,3 athletes with 2 medals
27,1964 Winter,Alain Calmat,24,15,9,5,3,4,,7,Christine Goitschel and Marielle Goitschel (2 medals)
28,1960 Summer,Christian d'Oriola,238,210,28,19,,2,3,5,12 athletes with 1 medal
29,1960 Winter,Benoît Carrara,26,18,8,6,1,,2,3,3 athletes with 1 medal
30,1956 Summer,Jean Debuf,137,119,18,15,4,4,6,14,3 athletes with 2 medals
31,1956 Winter,James Couttet,32,25,7,6,,,,,
32,1956 Equestrian,,8,8,0,1,,,,,
33,1952 Summer,Ignace Heinrich,245,214,31,18,6,6,6,18,3 athletes with 2 medals
34,1952 Winter,Alain Giletti,26,20,6,5,,,1,1,Jacqueline du Bief (1 medal)
35,1948 Summer,Jean Séphériadès,316,279,37,20,11,6,15,32,Micheline Ostermeyer (3 medals)
36,1948 Winter,James Couttet,36,28,8,7,2,1,2,5,Henri Oreiller (3 medals)
37,1936 Summer,Jules Noël,201,190,11,18,7,6,6,19,Robert Charpentier and Guy Lapébie (3 medals)
38,1936 Winter,,28,28,0,4,,,1,1,Émile Allais (1 medal)
39,1932 Summer,Jules Noël,103,97,6,13,11,5,4,20,6 athletes with 2 medals
40,1932 Winter,,8,7,1,3,1,,,1,Andrée Brunet-Joly and Pierre Brunet (1 medal)
41,1928 Summer,,256,220,36,17,7,12,6,25,Lucien Gaudin (3 medals)
42,1928 Winter,Jean Thorailler,38,36,2,8,1,,,1,Andrée Brunet-Joly and Pierre Brunet (1 medal)
43,1924 Summer,Géo André,401,370,31,20,14,15,12,41,Roger Ducret (5 medals)
44,1924 Winter,Camille Mandrillon,43,41,2,9,,,3,3,10 athletes with 1 medal
45,1920 Summer,Émile Écuyer,304,296,8,23,9,20,13,42,Julien Brulé (5 medals)
46,1912 Summer,Raoul Paoli,119,118,1,13,7,5,3,15,Jacques Cariou (3 medals)
47,1908 Summer,Émile Demangel,208,208,0,13,5,5,9,19,5 athletes with 2 medals
48,1906 Summer,,56,55,1,11,15,9,16,40,Léon Moreaux (5 medals)
49,1904 Summer,,1,1,0,1,,1,,1,Albert Corey (2 medals)
50,1900 Summer,,720,708,12,19,27,38,37,102,Achille Paroche (4 medals)
51,1896 Summer,,12,12,0,6,5,4,2,11,Léon Flameng and Paul Masson (3 medals)
