
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,1988 Summer,Reiner Klimke,347,244,103,24,11,14,15,40,9 athletes with 2 medals
2,1988 Winter,Peter Angerer,90,71,19,10,2,4,2,8,Christa Kinshofer-Güthlein (2 medals)
3,1984 Summer,Willi Kuhweide,390,267,123,25,17,19,23,59,Michael Groß (4 medals)
4,1984 Winter,Monika Gawenus-Holzner-Pflug,84,69,15,10,2,1,1,4,Peter Angerer (3 medals)
5,1980 Winter,Urban Hettich,80,61,19,10,,2,3,5,8 athletes with 1 medal
6,1976 Summer,Hans Günter Winkler,290,233,57,20,10,12,17,39,Annegret Richter (3 medals)
7,1976 Winter,Wolfgang Zimmerer,71,56,15,10,2,5,3,10,Rosi Mittermaier (3 medals)
8,1972 Summer,Detlef Lewe,423,340,83,23,13,11,16,40,Heide Rosendahl (3 medals)
9,1972 Winter,Walter Demel,78,62,16,10,3,1,1,5,Peter Utzschneider and Wolfgang Zimmerer (2 medals)
10,1968 Summer,Wilfried Dietrich,275,232,43,17,5,11,10,26,3 athletes with 2 medals
11,1968 Winter,Hans Plenk,87,67,20,10,2,2,3,7,10 athletes with 1 medal
