
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,1988 Summer,Ulf Timmermann,259,157,102,16,37,35,30,102,Kristin Otto (6 medals)
2,1988 Winter,Frank-Peter Roetsch,53,36,17,8,9,10,6,25,Karin Enke-Kania and Andrea Ehrig-Schöne-Mitscherlich (3 medals)
3,1984 Winter,Frank Ullrich,56,40,16,8,9,9,6,24,Karin Enke-Kania (4 medals)
4,1980 Summer,Kristina Richter,346,222,124,17,47,37,42,126,Ines Diers (5 medals)
5,1980 Winter,Jan Hoffmann,53,36,17,8,9,7,7,23,Frank Ullrich (3 medals)
6,1976 Summer,Hans-Georg Reimann,267,154,113,17,40,25,25,90,Kornelia Ender (5 medals)
7,1976 Winter,Meinhard Nehmer,59,40,19,8,7,5,7,19,3 athletes with 2 medals
8,1972 Summer,Manfred Wolke,297,231,66,18,20,23,23,66,Karin Janz (5 medals)
9,1972 Winter,Klaus-Michael Bonsack,42,29,13,7,4,3,7,14,Wolfram Fiedler and Hansjörg Knauthe (2 medals)
10,1968 Summer,Karin Richert-Balzer,226,186,40,18,9,9,7,25,Roland Matthes (3 medals)
11,1968 Winter,Thomas Köhler,57,45,12,9,1,2,2,5,Klaus-Michael Bonsack and Thomas Köhler (2 medals)
