
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Nino Tsiklauri,4,2,2,2,,,,,
2,2012 Summer,Nino Salukvadze,34,28,6,10,1,3,3,7,7 athletes with 1 medal
3,2010 Winter,Iason Abramashvili,6,3,3,2,,,,,
4,2008 Summer,Ramaz Nozadze,35,27,8,11,3,,3,6,6 athletes with 1 medal
5,2006 Winter,Vakhtang Murvanidze,3,2,1,2,,,,,
6,2004 Summer,Zurab Zviadauri,32,26,6,10,2,2,,4,4 athletes with 1 medal
7,2002 Winter,Sofia Akhmeteli,4,3,1,3,,,,,
8,2000 Summer,Giorgi Asanidze,36,27,9,12,,,6,6,6 athletes with 1 medal
9,1998 Winter,Sofia Akhmeteli,4,3,1,2,,,,,
10,1996 Summer,Giorgi K'andelak'i,34,27,7,13,,,2,2,Soso Lip'art'eliani and Eldar K'urt'anidze (1 medal)
11,1994 Winter,Zurab Dzhidzhishvili,5,5,0,3,,,,,
