
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Maria Höfl-Riesch,151,76,75,15,8,6,5,19,8 athletes with 2 medals
2,2012 Summer,Natascha Keller,383,212,171,27,11,19,14,44,7 athletes with 2 medals
3,2010 Winter,André Lange,149,93,56,15,10,13,7,30,Magdalena Neuner and Stephanie Beckert (3 medals)
4,2008 Summer,Dirk Nowitzki,420,237,183,30,16,10,15,41,7 athletes with 2 medals
5,2006 Winter,Kati Wilhelm,155,94,61,15,11,12,6,29,5 athletes with 3 medals
6,2004 Summer,Ludger Beerbaum,441,250,191,29,13,16,20,49,Antje Buschschulte (3 medals)
7,2002 Winter,Hilde Gerg,157,88,69,14,12,16,8,36,Sabine Völker and Kati Wilhelm (3 medals)
8,2000 Summer,Birgit Fischer-Schmidt,422,241,181,29,13,17,26,56,12 athletes with 2 medals
9,1998 Winter,Jochen Behle,125,78,47,14,12,9,8,29,3 athletes with 3 medals
10,1996 Summer,Arnd Schmitt,466,279,187,26,20,18,27,65,Dagmar Hase (4 medals)
11,1994 Winter,Mark Kirchner,112,79,33,11,9,7,8,24,9 athletes with 2 medals
12,1992 Summer,Manfred Klein,463,300,163,26,33,21,28,82,Franziska van Almsick (4 medals)
13,1992 Winter,Wolfgang Hoppe,111,75,36,11,10,10,6,26,3 athletes with 3 medals
14,1964 Summer,Ingrid Gulbin-Engel-Krämer,337,275,62,19,10,22,18,50,Hans-Joachim Klein (4 medals)
15,1964 Winter,Georg Thoma,96,73,23,10,3,3,3,9,10 athletes with 1 medal
16,1960 Summer,Fritz Thiedemann,293,238,55,17,12,19,11,42,8 athletes with 2 medals
17,1960 Winter,Helmut Recknagel,74,56,18,8,4,3,1,8,Helga Haase (2 medals)
18,1956 Summer,Karl-Friedrich Haas,158,134,24,15,4,10,6,20,Michel Scheuer and Christa Stubnick (2 medals)
19,1956 Winter,Anderl Ostler,63,52,11,8,1,,1,2,Ossi Reichert and Harry Glaß (1 medal)
20,1956 Equestrian,Fritz Thiedemann,9,6,3,1,2,3,1,6,3 athletes with 2 medals
21,1952 Summer,Friedel Schirmer,205,173,32,18,,7,17,24,6 athletes with 2 medals
22,1952 Winter,Helmut Böck,53,41,12,8,3,2,2,7,Mirl Buchner (3 medals)
23,1936 Summer,Hans Fritsch,433,389,44,22,38,31,32,101,Konrad Frey (6 medals)
24,1936 Winter,Georg von Kaufmann,55,48,7,8,3,3,,6,Ernst Baier (2 medals)
25,1932 Summer,Georg Gehring,144,135,9,15,5,12,7,24,Arthur Jonath (2 medals)
26,1932 Winter,Martin Schröttle,20,20,0,3,,,2,2,14 athletes with 1 medal
27,1928 Summer,Ernst Paulus,295,260,35,16,11,9,19,39,5 athletes with 2 medals
28,1928 Winter,Karl Neuner,44,39,5,7,,,1,1,5 athletes with 1 medal
29,1912 Summer,Karl von Halt,185,180,5,14,6,13,7,26,4 athletes with 2 medals
30,1908 Summer,Wilhelm Kaufmann,82,80,2,12,3,5,5,13,Karl Neumer and Hanns Braun (2 medals)
31,1906 Summer,Georg Hax,49,49,0,9,4,6,5,15,Gustav Casmir (4 medals)
32,1904 Summer,,22,22,0,9,4,5,6,15,Frank Kugler (4 medals)
33,1900 Summer,,76,76,0,10,4,3,2,9,5 athletes with 2 medals
34,1896 Summer,,19,19,0,6,6,5,2,13,Hermann Weingärtner (6 medals)
