
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,,7,5,2,4,,,,,
2,2010 Winter,Kwame Nkrumah-Acheampong,1,1,0,1,,,,,
3,2008 Summer,Vida Anim,9,8,1,2,,,,,
4,2004 Summer,Andrew Owusu,26,23,3,2,,,,,
5,2000 Summer,Kennedy Osei,22,16,6,2,,,,,
6,1996 Summer,Moro Tijani,35,33,2,4,,,,,
7,1992 Summer,,34,32,2,4,,,1,1,20 athletes with 1 medal
8,1988 Summer,John Myles-Mills,16,10,6,3,,,,,
9,1984 Summer,Makarios Djan,21,14,7,2,,,,,
10,1972 Summer,Sam Bugri,35,33,2,3,,,1,1,Prince Amartey (1 medal)
11,1968 Summer,,31,30,1,3,,,,,
12,1964 Summer,,33,30,3,3,,,1,1,Eddie Blay (1 medal)
13,1960 Summer,,13,13,0,2,,1,,1,Ike Quartey (1 medal)
14,1952 Summer,,7,7,0,1,,,,,
