
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Panagiota Tsakiri,7,5,2,4,,,,,
2,2012 Summer,Alexandros Nikolaidis,102,65,37,20,,,2,2,3 athletes with 1 medal
3,2010 Winter,Thanasis Tsakiris,7,4,3,3,,,,,
4,2008 Summer,Ilias Iliadis,152,82,70,23,,2,2,4,7 athletes with 1 medal
5,2006 Winter,Lefteris Fafalis,5,3,2,3,,,,,
6,2004 Summer,Pyrros Dimas,426,215,211,33,6,6,4,16,31 athletes with 1 medal
7,2002 Winter,Lefteris Fafalis,10,6,4,5,,,,,
8,2000 Summer,Nikos Kaklamanakis,140,82,58,23,4,6,3,13,18 athletes with 1 medal
9,1998 Winter,Vasilios Dimitriadis,13,10,3,6,,,,,
10,1996 Summer,Pyrros Dimas,121,87,34,18,4,4,,8,8 athletes with 1 medal
11,1994 Winter,Thomai Lefousi,9,7,2,5,,,,,
12,1992 Summer,Lambros Papakostas,70,56,14,17,2,,,2,Pyrros Dimas and Voula Patoulidou (1 medal)
13,1992 Winter,Thanasis Tsakiris,8,7,1,3,,,,,
14,1988 Summer,Babis Kholidis,56,44,12,12,,,1,1,Babis Kholidis (1 medal)
15,1988 Winter,Thanasis Tsakiris,6,5,1,2,,,,,
16,1984 Summer,Stelios Mygiakis,63,59,4,11,,1,1,2,Babis Kholidis and Dimitrios Thanopoulos (1 medal)
17,1984 Winter,Andreas Pantelidis,6,6,0,2,,,,,
18,1980 Summer,Ilias Khatzipavlis,41,38,3,8,1,,2,3,5 athletes with 1 medal
19,1980 Winter,Lazaros Arkhontopoulos,3,3,0,1,,,,,
20,1976 Summer,Vasilios Papageorgopoulos,36,34,2,8,,,,,
21,1976 Winter,Spyros Theodorou,4,4,0,2,,,,,
22,1972 Summer,Khristos Papanikolaou,60,58,2,9,,2,,2,Petros Galaktopoulos and Ilias Khatzipavlis (1 medal)
23,1972 Winter,Panagiotis Alexandris,3,3,0,1,,,,,
24,1968 Summer,Khristos Papanikolaou,44,44,0,7,,,1,1,Petros Galaktopoulos (1 medal)
25,1968 Winter,Dimitrios Pappos,3,3,0,2,,,,,
26,1964 Summer,Georgios Marsellos,18,18,0,4,,,,,
27,1964 Winter,Dimitrios Pappos,3,3,0,1,,,,,
28,1960 Summer,Crown Prince Konstantinos,48,48,0,8,1,,,1,3 athletes with 1 medal
29,1956 Summer,Georgios Roubanis,13,13,0,5,,,1,1,Georgios Roubanis (1 medal)
30,1956 Winter,Alexandros Vouxinos,3,3,0,1,,,,,
31,1952 Summer,Nikolaos Syllas,48,48,0,7,,,,,
32,1952 Winter,Angelos Lembesi,3,3,0,1,,,,,
33,1948 Summer,Georgios Kalambokidis,61,60,1,10,,,,,
34,1948 Winter,Fotis Mavriplis,1,1,0,1,,,,,
35,1936 Summer,Ioannis Skiadas,41,40,1,7,,,,,
36,1936 Winter,Dimitrios Negrepontis,1,1,0,2,,,,,
37,1932 Summer,Khristos Mantikas,10,10,0,3,,,,,
38,1928 Summer,Antonios Karyofyllis,23,23,0,4,,,,,
39,1924 Summer,Khristos Vrettos,39,38,1,9,1,,,1,Kostas Dimitriadis (1 medal)
40,1920 Summer,Vasilios Zarkadis,47,47,0,8,,1,,1,5 athletes with 1 medal
41,1912 Summer,Kostas Tsiklitiras,22,22,0,5,1,,1,2,Kostas Tsiklitiras (2 medals)
42,1908 Summer,Nikolaos Georgantas,20,20,0,3,,3,1,4,Kostas Tsiklitiras (2 medals)
43,1906 Summer,,312,307,5,13,8,13,13,34,Nikolaos Georgantas (3 medals)
44,1904 Summer,,14,14,0,3,1,,1,2,Periklis Kakousis and Nikolaos Georgantas (1 medal)
45,1900 Summer,,3,3,0,2,,,,,
46,1896 Summer,,102,102,0,9,10,18,19,47,Ioannis Frangoudis (3 medals)
