
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Juan Ignacio Maegli,19,12,7,11,,1,,1,Erick Barrondo (1 medal)
2,2008 Summer,Kevin Cordón,12,9,3,9,,,,,
3,2004 Summer,Gisela Morales,18,11,7,8,,,,,
4,2000 Summer,Attila Solti,15,14,1,7,,,,,
5,1996 Summer,Julio René Martínez,26,25,1,11,,,,,
6,1992 Summer,Julio Sandoval,14,12,2,7,,,,,
7,1988 Summer,Carlos Silva,28,25,3,8,,,,,
8,1988 Winter,Alfredo Rego,6,5,1,2,,,,,
9,1984 Summer,Oswaldo Méndez,24,20,4,9,,,,,
10,1980 Summer,Carlos Silva,10,10,0,5,,,,,
11,1976 Summer,Edgar Tornez,28,26,2,5,,,,,
12,1972 Summer,Víctor Castellanos,8,8,0,3,,,,,
13,1968 Summer,Teodoro Palacios,48,47,1,8,,,,,
14,1952 Summer,Doroteo Flores,21,20,1,6,,,,,
15,1932 Summer,,1,0,1,1,,,,,
