
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Winston George,6,4,2,3,,,,,
2,2008 Summer,Niall Roberts,4,2,2,2,,,,,
3,2004 Summer,Aliann Pompey,4,2,2,3,,,,,
4,2000 Summer,Aliann Pompey,4,3,1,1,,,,,
5,1996 Summer,John Douglas,7,6,1,2,,,,,
6,1992 Summer,,6,5,1,3,,,,,
7,1988 Summer,Alfred Thomas,8,7,1,3,,,,,
8,1984 Summer,Earl Haley,10,8,2,3,,,,,
9,1980 Summer,,8,7,1,3,,,1,1,Michael Anthony (1 medal)
10,1972 Summer,Gordon Sankis,3,3,0,2,,,,,
11,1968 Summer,,5,5,0,4,,,,,
12,1964 Summer,,1,1,0,1,,,,,
13,1960 Summer,,5,4,1,2,,,,,
14,1956 Summer,,4,3,1,2,,,,,
15,1952 Summer,,1,1,0,1,,,,,
16,1948 Summer,,4,4,0,3,,,,,
