
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Linouse Desravine,5,3,2,2,,,,,
2,2008 Summer,Joel Brutus,7,3,4,3,,,,,
3,2004 Summer,Tudor Sanon,8,7,1,4,,,,,
4,2000 Summer,Nadine Faustin-Parker,5,3,2,3,,,,,
5,1996 Summer,Adler Volmar,7,7,0,4,,,,,
6,1992 Summer,,7,6,0,2,,,,,
7,1988 Summer,Deborah Saint Phard,4,3,1,2,,,,,
8,1984 Summer,Ronald Agénor,3,1,2,2,,,,,
9,1976 Summer,,13,10,3,2,,,,,
10,1972 Summer,Jules Meliner,7,6,1,1,,,,,
11,1960 Summer,,1,1,0,1,,,,,
12,1932 Summer,,3,3,0,2,,,,,
13,1928 Summer,,2,2,0,1,,1,,1,Sylvio Cator (1 medal)
14,1924 Summer,,8,8,0,2,,,1,1,5 athletes with 1 medal
15,1900 Summer,,3,3,0,2,,,,,Constantin Henriquez (1 medal)
