
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Barton Lui,1,1,0,1,,,,,
2,2012 Summer,Lee Wai Sze,41,21,20,13,,,1,1,Lee Wai Sze (1 medal)
3,2010 Winter,Han Yue Shuang,1,0,1,1,,,,,
4,2008 Summer,Wong Kam Po,34,17,17,11,,,,,
5,2006 Winter,Han Yue Shuang,1,0,1,1,,,,,
6,2004 Summer,Sherry Tsai,32,14,18,10,,1,,1,Ko Lai Chak and Li Ching (1 medal)
7,2002 Winter,Cordia Tsoi,2,0,2,1,,,,,
8,2000 Summer,Fenella Ng,31,19,12,9,,,,,
9,1996 Summer,Chan Sau Ying,23,14,9,10,1,,,1,Lee Lai Shan (1 medal)
10,1992 Summer,,38,28,10,11,,,,,
11,1988 Summer,Liu Fuk Man,48,38,10,11,,,,,
12,1984 Summer,Solomon Lee,47,36,11,10,,,,,
13,1976 Summer,,25,23,2,6,,,,,
14,1972 Summer,Peter Rull Sr.,10,10,0,5,,,,,
15,1968 Summer,,11,11,0,3,,,,,
16,1964 Summer,,39,38,1,7,,,,,
17,1960 Summer,,4,4,0,2,,,,,
18,1956 Summer,,2,2,0,1,,,,,
19,1952 Summer,,4,2,2,1,,,,,
