
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ronald Bennett,25,22,3,8,,,,,
2,2008 Summer,Miguel Ferrera,25,23,2,5,,,,,
3,2004 Summer,Izza Medina,5,3,2,4,,,,,
4,2000 Summer,Alejandro Castellanos,20,18,2,3,,,,,
5,1996 Summer,Darwin Angeles,7,4,3,4,,,,,
6,1992 Summer,,10,7,3,4,,,,,
7,1992 Winter,Jenny Palacios-Stillo,1,0,1,1,,,,,
8,1988 Summer,Santiago Fonseca,8,7,1,3,,,,,
9,1984 Summer,Carlos Solo,10,7,3,3,,,,,
10,1976 Summer,,3,3,0,1,,,,,
11,1968 Summer,,6,6,0,1,,,,,
