
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Bernadett Heidum,16,7,9,5,,,,,
2,2012 Summer,Péter Biros,152,93,59,21,8,4,6,18,3 athletes with 2 medals
3,2010 Winter,Júlia Sebestyén,15,6,9,5,,,,,
4,2008 Summer,Zoltán Kammerer,171,88,83,20,3,5,2,10,László Cseh Jr. (3 medals)
5,2006 Winter,Rózsa Darázs,19,11,8,6,,,,,
6,2004 Summer,Antal Kovács,209,119,90,20,8,6,3,17,Katalin Kovács and Natasa Douchev-Janics (2 medals)
7,2002 Winter,Krisztina Egyed,25,14,11,7,,,,,
8,2000 Summer,Rita Kőbán,178,109,69,23,8,6,3,17,4 athletes with 2 medals
9,1998 Winter,Krisztina Egyed,17,8,9,6,,,,,
10,1996 Summer,Bence Szabó,213,147,66,24,7,4,10,21,3 athletes with 2 medals
11,1994 Winter,Attila Bónis,16,5,11,5,,,,,
12,1992 Summer,Tibor Komáromi,217,159,58,23,11,12,7,30,Rita Kőbán and Krisztina Egerszegi (3 medals)
13,1992 Winter,Attila Tóth,24,13,11,6,,,,,
14,1988 Summer,István Vaskuti,188,152,36,20,11,6,6,23,6 athletes with 2 medals
15,1988 Winter,Attila Tóth,5,3,2,3,,,,,
16,1984 Winter,Gábor Mayer,9,7,2,4,,,,,
17,1980 Summer,István Szivós Sr.,263,182,81,21,7,10,15,32,5 athletes with 2 medals
18,1980 Winter,András Sallay,2,1,1,1,,1,,1,Krisztina Regőczy and András Sallay (1 medal)
19,1976 Summer,Jenő Kamuti,178,124,54,17,4,5,13,22,4 athletes with 2 medals
20,1976 Winter,László Vajda,3,2,1,1,,,,,
21,1972 Summer,Gergely Kulcsár,232,187,45,20,6,13,16,35,6 athletes with 2 medals
22,1972 Winter,Zsuzsa Almássy,1,0,1,1,,,,,
23,1968 Summer,Gergely Kulcsár,167,135,32,15,10,10,12,32,6 athletes with 2 medals
24,1968 Winter,Mihály Martos,10,8,2,4,,,,,
25,1964 Summer,Gergely Kulcsár,182,150,32,17,10,7,5,22,3 athletes with 2 medals
26,1964 Winter,Lajos Koutny,28,22,6,6,,,,,
27,1960 Summer,János Simon,184,157,27,18,6,8,7,21,7 athletes with 2 medals
28,1960 Winter,János Bartha,3,2,1,3,,,,,
29,1956 Summer,József Csermák,108,88,20,12,9,10,7,26,Ágnes Keleti (6 medals)
30,1956 Winter,István Erdélyi,2,1,1,1,,,1,1,Marianna Nagy and László Nagy (1 medal)
31,1956 Equestrian,,3,3,0,1,,,,,
32,1952 Summer,Imre Németh,189,162,27,15,16,10,16,42,Margit Korondi (6 medals)
33,1952 Winter,Ferenc Lőrincz,12,8,4,4,,,1,1,Marianna Nagy and László Nagy (1 medal)
34,1948 Summer,Imre Németh,128,107,21,15,10,5,13,28,János Mogyorósi-Klencs and Ferenc Pataki (3 medals)
35,1948 Winter,András Harangvölgyi,22,17,5,5,,1,,1,Andrea Kékesy and Ede Király (1 medal)
36,1936 Summer,Péter Bácsalmási,216,197,19,21,10,1,5,16,3 athletes with 2 medals
37,1936 Winter,Levente Balatoni,25,22,3,5,,,1,1,Emília Rotter and László Szollás (1 medal)
38,1932 Summer,Péter Bácsalmási,58,56,2,11,6,5,5,16,István Pelle (4 medals)
39,1932 Winter,László Szollás,4,2,2,1,,,1,1,Emília Rotter and László Szollás (1 medal)
40,1928 Summer,Kálmán Egri,109,93,16,12,5,5,,10,Attila Petschauer and Ödön von Tersztyánszky (2 medals)
41,1928 Winter,Gyula Szepes,13,13,0,4,,,,,
42,1924 Summer,Sándor Toldi,89,86,3,12,2,4,4,10,Sándor Pósta (3 medals)
43,1924 Winter,,4,4,0,2,,,,,
44,1912 Summer,Jenő Reti,121,121,0,11,3,2,3,8,Jenő Fuchs and Ervin Mészáros (2 medals)
45,1908 Summer,István Mudin,65,65,0,8,3,4,2,9,Jenő Fuchs and Zoltán von Halmay (2 medals)
46,1906 Summer,,35,35,0,7,2,5,3,10,Zoltán von Halmay and István Mudin (2 medals)
47,1904 Summer,,4,4,0,2,2,1,1,4,Zoltán von Halmay and Géza Kiss (2 medals)
48,1900 Summer,,18,18,0,4,1,2,2,5,Zoltán von Halmay (3 medals)
49,1896 Summer,,7,7,0,6,2,1,3,6,Alfréd Hajós (2 medals)
