
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,I Gede Sudartawa,22,13,9,8,,1,1,2,Eko Irawan and  Triyatno (1 medal)
2,2008 Summer,Oka Sulaksana,24,15,9,7,1,1,3,5,7 athletes with 1 medal
3,2004 Summer,Krisna Bayu,38,22,16,14,1,1,2,4,5 athletes with 1 medal
4,2000 Summer,Rexy Mainaky,47,27,20,12,1,3,2,6,8 athletes with 1 medal
5,1996 Summer,Hendrik Simangunsong,40,23,17,11,1,1,2,4,6 athletes with 1 medal
6,1992 Summer,Christian Hadinata,42,27,15,10,2,2,1,5,6 athletes with 1 medal
7,1988 Summer,Tonny Maringgi,29,23,6,11,,1,,1,3 athletes with 1 medal
8,1984 Summer,Luki Niode,16,13,3,6,,,,,
9,1976 Summer,,7,5,2,5,,,,,
10,1972 Summer,Wiem Gommies,6,3,3,5,,,,,
11,1968 Summer,,6,6,0,2,,,,,
12,1960 Summer,,22,20,2,8,,,,,
13,1956 Summer,,22,20,2,6,,,,,
14,1952 Summer,,3,3,0,3,,,,,
