
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Hossein Saveh Shemshaki,5,3,2,2,,,,,
2,2012 Summer,Ali Mazaheri,52,44,8,13,4,5,3,12,12 athletes with 1 medal
3,2010 Winter,Marjan Kalhor,4,3,1,2,,,,,
4,2008 Summer,Homa Hosseini,54,51,3,12,1,,1,2,Hadi Saei and Morad Mohammadi (1 medal)
5,2006 Winter,Alidad Saveh Shemshaki,2,2,0,2,,,,,
6,2004 Summer,Arash Miresmaeili,37,36,1,10,2,2,2,6,6 athletes with 1 medal
7,2002 Winter,Bagher Kalhor,2,2,0,2,,,,,
8,2000 Summer,Amir Reza Khadem Azgadhi,33,32,1,12,3,,1,4,4 athletes with 1 medal
9,1998 Winter,Hassan Shemshaki,1,1,0,1,,,,,
10,1996 Summer,Lida Fariman,18,17,1,6,1,1,1,3,3 athletes with 1 medal
11,1992 Summer,Ali Reza Soleimani,36,36,0,6,,1,2,3,3 athletes with 1 medal
12,1988 Summer,,23,23,0,3,,1,,1,Asgari Mohammadian (1 medal)
13,1976 Summer,Moslem Eskandar-Filabi,84,80,4,9,,1,1,2,Mohammad Nassiri and Mansour Barzegar (1 medal)
14,1976 Winter,Lotfollah Kia Shemshaki,4,4,0,1,,,,,
15,1972 Summer,Abdullah Movahed,48,48,0,7,,2,1,3,3 athletes with 1 medal
16,1972 Winter,Ovaness Meguerdonian,4,4,0,1,,,,,
17,1968 Summer,Abolfazl Anvari,14,14,0,3,2,1,2,5,5 athletes with 1 medal
18,1968 Winter,Ovaness Meguerdonian,4,4,0,1,,,,,
19,1964 Summer,Nosratallah Shahmir,62,58,4,11,,,2,2,Sayed Ali Akbar Haydari and Mohammad Ali Sanatkaran (1 medal)
20,1964 Winter,Ovaness Meguerdonian,4,4,0,1,,,,,
21,1960 Summer,Jafar Salmasi,23,23,0,5,,1,3,4,4 athletes with 1 medal
22,1956 Summer,Mahmoud Namdjou,17,17,0,3,2,2,1,5,5 athletes with 1 medal
23,1956 Winter,Dr. Farzami,3,3,0,1,,,,,
24,1952 Summer,Mahmoud Namdjou,22,22,0,4,,3,4,7,7 athletes with 1 medal
25,1948 Summer,Mostafa Baharmast,36,36,0,5,,,1,1,Jafar Salmasi (1 medal)
26,1900 Summer,,1,1,0,1,,,,,
