
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Conor Lyne,5,4,1,4,,,,,
2,2012 Summer,Katie Taylor,64,36,28,14,1,1,3,5,5 athletes with 1 medal
3,2010 Winter,Aoife Hoey,6,3,3,4,,,,,
4,2008 Summer,Ciara Peelo,55,39,16,12,,1,2,3,3 athletes with 1 medal
5,2006 Winter,Kirsty McGarry,4,3,1,3,,,,,
6,2004 Summer,Niall Griffin,46,32,14,9,,,,,
7,2002 Winter,Tamsen McGarry,6,5,1,4,,,,,
8,2000 Summer,Sonia O'Sullivan,64,40,24,10,,1,,1,Sonia O'Sullivan (1 medal)
9,1998 Winter,Terry McHugh,6,6,0,2,,,,,
10,1996 Summer,Francie Barrett,78,62,16,13,3,,1,4,Michelle Smith (4 medals)
11,1992 Summer,Michelle Smith,58,49,9,12,1,1,,2,Michael Carruth and Wayne McCullough (1 medal)
12,1992 Winter,Pat McDonagh,4,4,0,1,,,,,
13,1988 Summer,Wayne McCullough,61,52,9,12,,,,,
14,1984 Summer,Gerry Mullins,42,28,13,10,,1,,1,John Treacy (1 medal)
15,1980 Summer,Ken Ryan,47,44,3,11,,1,1,2,3 athletes with 1 medal
16,1976 Summer,Frank Moore,44,41,3,10,,,,,
17,1972 Summer,Ronnie McMahon,59,51,8,12,,,,,
18,1968 Summer,Jim McCourt,31,25,6,7,,,,,
19,1964 Summer,John Lawlor,25,24,1,7,,,1,1,Jim McCourt (1 medal)
20,1960 Summer,Ronnie Delany,49,47,2,8,,,,,
21,1956 Summer,Tony Byrne,12,11,1,4,1,1,3,5,5 athletes with 1 medal
22,1956 Equestrian,Kevin Barry,6,6,0,1,,,,,
23,1952 Summer,Paddy Carroll,19,19,0,6,,1,,1,John McNally (1 medal)
24,1948 Summer,Paddy Carroll,73,68,5,10,,,1,1,Letitia Hamilton (1 medal)
25,1932 Summer,Pat O'Callaghan,16,14,2,3,2,,,2,Pat O'Callaghan and Bob Tisdall (1 medal)
26,1928 Summer,Matt Flanagan,38,33,5,6,1,,,1,Pat O'Callaghan (1 medal)
27,1924 Summer,John O'Grady,48,46,2,6,,1,1,2,Oliver St. John Gogarty and Jack Yeats (1 medal)
