
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Dana Abdul Razak,8,5,3,7,,,,,
2,2008 Summer,Hamzah Al-Hilfi,4,3,1,2,,,,,
3,2004 Summer,Hadir Lazame,24,23,1,7,,,,,
4,2000 Summer,Bashar Mohammad Ali,4,2,2,2,,,,,
5,1996 Summer,Raed Ahmed,3,3,0,3,,,,,
6,1992 Summer,,8,8,0,3,,,,,
7,1988 Summer,Abdul Wahab Ali,27,27,0,5,,,,,
8,1984 Summer,Ismail Salman,23,23,0,4,,,,,
9,1980 Summer,,43,43,0,5,,,,,
10,1968 Summer,,3,3,0,3,,,,,
11,1964 Summer,,13,13,0,3,,,,,
12,1960 Summer,,21,21,0,5,,,1,1,Abdul Wahid Aziz (1 medal)
13,1948 Summer,,11,11,0,2,,,,,
