
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Sævar Birgisson,5,3,2,2,,,,,
2,2012 Summer,Ásdís Hjálmsdóttir,27,21,6,6,,,,,
3,2010 Winter,Björgvin Björgvinsson,4,3,1,1,,,,,
4,2008 Summer,Örn Arnarson,27,20,7,5,,1,,1,14 athletes with 1 medal
5,2006 Winter,Dagný Linda Kristjánsdóttir,5,4,1,1,,,,,
6,2004 Summer,Guðmundur Hrafnkelsson,26,21,5,5,,,,,
7,2002 Winter,Dagný Linda Kristjánsdóttir,6,4,2,1,,,,,
8,2000 Summer,Guðrún Arnardóttir,18,9,9,5,,,1,1,Vala Flosadóttir (1 medal)
9,1998 Winter,Theódóra Mathiesen,7,4,3,1,,,,,
10,1996 Summer,Jón Arnar Magnússon,9,5,4,5,,,,,
11,1994 Winter,Ásta Halldórsdóttir,5,4,1,2,,,,,
12,1992 Summer,Bjarni Friðriksson,27,24,3,6,,,,,
13,1992 Winter,Ásta Halldórsdóttir,5,4,1,2,,,,,
14,1988 Summer,Bjarni Friðriksson,32,28,4,5,,,,,
15,1988 Winter,Einar Ólafsson,3,2,1,2,,,,,
16,1984 Summer,Einar Vilhjálmsson,30,27,3,5,,,1,1,Bjarni Friðriksson (1 medal)
17,1984 Winter,Nanna Leifsdóttir,5,4,1,2,,,,,
18,1980 Summer,Birgir Borgþórsson,9,9,0,3,,,,,
19,1980 Winter,Haukur Sigurðsson,6,5,1,2,,,,,
20,1976 Summer,Óskar Jakobsson,13,9,4,4,,,,,
21,1976 Winter,Árni Óðinsson,8,6,2,2,,,,,
22,1972 Summer,Geir Hallsteinsson,25,24,1,4,,,,,
23,1968 Summer,Guðmundur Hermannsson,8,6,2,3,,,,,
24,1968 Winter,Kristinn Benediktsson,4,4,0,1,,,,,
25,1964 Summer,Valbjörn Þorláksson,4,3,1,2,,,,,
26,1964 Winter,Valdimar Örnólfsson,5,5,0,2,,,,,
27,1960 Summer,Pétur Rögnvaldsson,9,8,1,2,,,,,
28,1960 Winter,Kristinn Benediktsson,4,4,0,2,,,,,
29,1956 Summer,Vilhjálmur Einarsson,2,2,0,1,,1,,1,Vilhjálmur Einarsson (1 medal)
30,1956 Winter,Valdimar Örnólfsson,7,6,1,2,,,,,
31,1952 Summer,Friðrik Guðmundsson,9,9,0,1,,,,,
32,1952 Winter,Gisli B. Kristjánsson,11,11,0,3,,,,,
33,1948 Summer,Finnbjörn Þorvaldsson,20,17,3,3,,,,,
34,1948 Winter,Hermann Stefánsson,4,4,0,2,,,,,
35,1936 Summer,Kristján Vattnes,12,12,0,2,,,,,
36,1912 Summer,,2,2,0,2,,,,,
37,1908 Summer,,1,1,0,1,,,,,
