
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Vladislav Bykanov,4,3,1,2,,,,,
2,2012 Summer,Shahar Zubari,37,19,18,10,,,,,
3,2010 Winter,Alexandra Zaretski,3,2,1,2,,,,,
4,2008 Summer,Michael Kolganov,43,23,20,12,,,1,1,Shahar Zubari (1 medal)
5,2006 Winter,Galit Chait,5,3,2,2,,,,,
6,2004 Summer,Arik Ze'evi,36,20,16,14,1,,1,2,Gal Fridman and Arik Ze'evi (1 medal)
7,2002 Winter,Galit Chait,5,2,3,2,,,,,
8,2000 Summer,Rogel Nachum,39,29,10,9,,,1,1,Michael Kolganov (1 medal)
9,1998 Winter,Michael Shmerkin,3,2,1,1,,,,,
10,1996 Summer,Lydia Czuckermann-Hatuel,25,18,7,10,,,1,1,Gal Fridman (1 medal)
11,1994 Winter,Michael Shmerkin,1,1,0,1,,,,,
12,1992 Summer,Eldad Amir,30,25,5,10,,1,1,2,Yael Arad and Shay-Oren Smadja (1 medal)
13,1988 Summer,Itzhak Yonassi,18,14,4,8,,,,,
14,1984 Summer,Zehava Shmueli,32,24,8,11,,,,,
15,1976 Summer,Esther Shakhamorov-Rot,26,24,2,10,,,,,
16,1972 Summer,Henry Herscovici,14,12,2,7,,,,,
17,1968 Summer,Gershon Shefa,29,26,3,4,,,,,
18,1964 Summer,Gideon Ariel,10,8,2,3,,,,,
19,1960 Summer,Gideon Ariel,23,17,6,7,,,,,
20,1956 Summer,Yoav Ra'anan,3,2,1,3,,,,,
21,1952 Summer,Abraham Shneior,25,22,3,5,,,,,
