
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Jasmine Campbell,1,0,1,1,,,,,
2,2012 Summer,Tabarie Henry,7,4,3,3,,,,,
3,2008 Summer,Josh Laban,7,6,1,5,,,,,
4,2004 Summer,LaVerne Jones,6,5,1,4,,,,,
5,2002 Winter,Dinah Browne,8,6,2,2,,,,,
6,2000 Summer,Ameerah Bello,9,6,3,5,,,,,
7,1998 Winter,Paul Zar,7,6,1,2,,,,,
8,1996 Summer,Lisa Neuburger,12,6,6,5,,,,,
9,1994 Winter,Kyle Heikkila,8,7,1,2,,,,,
10,1992 Summer,Flora Hyacinth,25,20,5,7,,,,,
11,1992 Winter,Anne Abernathy,12,10,2,3,,,,,
12,1988 Summer,,22,19,3,6,,1,,1,Peter Holmberg (1 medal)
13,1988 Winter,Seba Johnson,6,4,2,3,,,,,
14,1984 Summer,Jodie Lawaetz,29,26,3,7,,,,,
15,1976 Summer,Ivan David,21,19,2,6,,,,,
16,1972 Summer,William Peets,16,16,0,4,,,,,
17,1968 Summer,Leston Sprauve,6,6,0,3,,,,,
