
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Armin Zöggeler,110,67,43,13,,2,6,8,Arianna Fontana (3 medals)
2,2012 Summer,Valentina Vezzali,281,158,123,28,8,9,11,28,5 athletes with 2 medals
3,2010 Winter,Giorgio Di Centa,109,69,40,13,1,1,3,5,5 athletes with 1 medal
4,2008 Summer,Antonio Rossi,333,203,130,29,8,9,10,27,4 athletes with 2 medals
5,2006 Winter,Carolina Kostner,179,106,73,15,5,,6,11,Enrico Fabris (3 medals)
6,2004 Summer,Jury Chechi,364,229,135,30,10,11,11,32,3 athletes with 2 medals
7,2002 Winter,Isolde Kostner,109,63,46,12,4,4,5,13,Stefania Belmondo (3 medals)
8,2000 Summer,Carlton Myers,361,246,115,29,13,8,13,34,Massimiliano Rosolino (3 medals)
9,1998 Winter,Gerda Weissensteiner,113,79,34,13,2,6,2,10,3 athletes with 2 medals
10,1996 Summer,Giovanna Trillini,340,236,104,27,13,10,12,35,6 athletes with 2 medals
11,1994 Winter,Deborah Compagnoni,104,78,26,11,7,5,8,20,Manuela Di Centa (5 medals)
12,1992 Summer,Giuseppe Abbagnale,304,228,76,26,6,5,8,19,Giovanna Trillini (2 medals)
13,1992 Winter,Alberto Tomba,107,79,28,11,4,6,4,14,Stefania Belmondo and Giorgio Vanzetta (3 medals)
14,1988 Summer,Pietro Mennea,253,212,41,23,6,4,4,14,Giovanni Scalzo and Carlo Massullo (2 medals)
15,1988 Winter,Paul Hildgartner,58,42,16,8,2,1,2,5,Johann Passler and Alberto Tomba (2 medals)
16,1984 Summer,Sara Simeoni,268,222,46,23,14,6,12,32,5 athletes with 2 medals
17,1984 Winter,Paul Hildgartner,74,59,15,9,2,,,2,Paola Magoni-Sforza and Paul Hildgartner (1 medal)
18,1980 Summer,,159,121,38,19,8,3,4,15,Federico Roman and Pietro Mennea (2 medals)
19,1980 Winter,Gustavo Thoeni,46,34,12,8,,2,,2,3 athletes with 1 medal
20,1976 Summer,Klaus Dibiasi,210,183,27,20,2,7,4,13,Fabio Dal Zotto (2 medals)
21,1976 Winter,Gustavo Thoeni,58,47,11,9,1,2,1,4,4 athletes with 1 medal
22,1972 Summer,Abdon Pamich,224,197,27,19,5,3,10,18,Novella Calligaris (3 medals)
23,1972 Winter,Luciano De Paolis,44,41,3,9,2,2,1,5,Gustavo Thoeni (2 medals)
24,1968 Summer,Raimondo D'Inzeo,167,152,15,17,3,4,9,16,Pierfranco Vianelli and Klaus Dibiasi (2 medals)
25,1968 Winter,Clotilde Fasolis,47,39,8,8,4,,,4,Luciano De Paolis and Eugenio Monti (2 medals)
26,1964 Summer,Giuseppe Delfino,168,157,11,18,10,10,7,27,Franco Menichelli (3 medals)
27,1964 Winter,Eugenio Monti,61,53,8,9,,1,3,4,Eugenio Monti and Sergio Siorpaes (2 medals)
28,1960 Summer,Edoardo Mangiarotti,280,246,34,19,13,10,13,36,10 athletes with 2 medals
29,1960 Winter,Bruno Alberti,28,21,7,6,,,1,1,Giuliana Chenal-Minuzzo (1 medal)
30,1956 Summer,Edoardo Mangiarotti,129,114,15,13,8,6,8,22,Edoardo Mangiarotti (3 medals)
31,1956 Winter,Nilo Zandanel,65,53,12,8,1,2,,3,Renzo Alverà and Eugenio Monti (2 medals)
32,1956 Equestrian,Giancarlo Gutierrez,6,6,0,1,,2,1,3,Piero D'Inzeo and Raimondo D'Inzeo (2 medals)
33,1952 Summer,Miranda Cicognani,231,208,23,19,8,9,4,21,Edoardo Mangiarotti (4 medals)
34,1952 Winter,Maria Grazia Marchelli,33,28,5,6,1,,1,2,Giuliana Chenal-Minuzzo and Zeno Colò (1 medal)
35,1948 Summer,Gianni Rocca,215,195,20,16,9,12,10,31,Edoardo Mangiarotti (3 medals)
36,1948 Winter,Vittorio Chierroni,54,51,3,9,1,,,1,Nino Bibbia (1 medal)
37,1936 Summer,Giulio Gaudini,244,228,16,17,9,13,5,27,Giulio Gaudini and Gustavo Marzi (3 medals)
38,1936 Winter,Adriano Guarnieri,40,35,5,7,,,,,
39,1932 Summer,Ugo Frigerio,112,112,0,13,12,12,12,36,Giulio Gaudini (4 medals)
40,1932 Winter,Erminio Sertorelli,12,12,0,4,,,,,
41,1928 Summer,Carlo Galimberti,174,156,18,15,7,6,7,20,3 athletes with 2 medals
42,1928 Winter,Ferdinando Glück,13,13,0,5,,,,,
43,1924 Summer,Ugo Frigerio,200,196,4,18,8,3,5,16,6 athletes with 2 medals
44,1924 Winter,Leonardo Bonzi,23,23,0,4,,,,,
45,1920 Summer,Nedo Nadi,174,173,1,18,14,6,5,25,Nedo Nadi (5 medals)
46,1912 Summer,Alberto Braglia,66,66,0,8,5,1,2,8,Alberto Braglia and Serafino Mazzarocchi (2 medals)
47,1908 Summer,Pietro Bragaglia,66,66,0,8,2,2,,4,8 athletes with 1 medal
48,1906 Summer,,76,76,0,9,7,6,3,16,4 athletes with 3 medals
49,1904 Summer,,1,1,0,1,,,,,
50,1900 Summer,,23,22,1,6,3,2,,5,Giangiorgio Count Trissino (2 medals)
51,1896 Summer,,1,1,0,1,,,,,
