
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Peter Crook,1,1,0,1,,,,,
2,2012 Summer,Tahesia Harrigan-Scott,2,1,1,1,,,,,
3,2008 Summer,Tahesia Harrigan-Scott,2,1,1,1,,,,,
4,2004 Summer,Dion Crabbe,1,1,0,1,,,,,
5,2000 Summer,Keita Cline,1,1,0,1,,,,,
6,1996 Summer,Keita Cline,7,7,0,2,,,,,
7,1992 Summer,Karl Scatliffe,4,4,0,2,,,,,
8,1988 Summer,Willis Todman,3,3,0,2,,,,,
9,1984 Summer,Lindel Hodge,9,9,0,2,,,,,
10,1984 Winter,Erroll Fraser,1,1,0,1,,,,,
